f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,21.5925,21.2,21.99,0.0055736,21.53,171.39463367896846,0.2028324431643021,152.65781440002772,-53.797468354430535,21.41630812799402,21.58906605338208,21.59418181818182,21.65
0.0,0.0,22.335,21.68,23.09,0.0232,22.03,161.32579327029725,0.3443196189588964,124.03845941751904,-25.34562211981573,21.741845343610752,22.02831176554448,21.767454545454545,22.54
0.0,0.0,22.6,22.3,23.03,-0.0119,22.67,152.26383690249313,0.394898721193168,113.2778350362926,-31.79723502304156,21.93987123692077,22.25791262997185,21.903454545454547,22.4
0.0,0.0,22.82,22.46,23.25,-0.0239,23.06,144.17401979539966,0.4479832586157653,112.34302201755686,-31.75965665236047,22.124008529568943,22.45440448214366,22.040727272727278,22.51
0.0,0.0,22.5275,22.18,22.74,0.0004426737,22.59,136.36449039870695,0.4763454628733226,111.60054471703904,-29.953917050691157,22.28978610466172,22.616512592284373,22.17727272727273,22.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,22.4,22.16,22.69,-0.0138,22.53,129.29534796526656,0.4631295715024033,87.03818528593142,-47.46543778801845,22.28539634568542,22.540827772706606,22.223636363636363,22.22
0.0,0.0,22.3975,21.95,22.86,0.0144,22.23,122.47408697173547,0.4701074345295976,89.30869050073841,-32.258064516128975,22.389386793124917,22.627578543755885,22.318363636363635,22.55
0.0,0.0,23.01,22.67,23.39,0.0193,22.77,116.61552862352012,0.4573499754017707,92.30433530691316,-7.860262008733615,22.68249157882821,22.9732863604666,22.51709090909091,23.21
0.0,0.0,23.18,22.92,23.39,-0.0064433,23.28,111.3428261101263,0.4793579038672464,88.94774824699556,-11.872146118721526,22.86969423442039,23.15494555859354,22.664181818181817,23.13
0.0,0.0,23.195,22.85,23.42,0.0134,23.1,106.4069709834024,0.4904446961686918,90.31707728292471,-0.4504504504505203,23.09617884735664,23.38662468579709,22.838,23.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,23.305,22.78,23.85,-0.0317,23.67,102.24403147925564,0.3725707986410102,72.78301224223432,-42.85714285714281,23.096183295773244,23.30178747344759,22.892181818181815,22.92
0.0,0.0,23.095,22.66,23.49,0.0161,22.93,98.13032424003134,0.3987793876318084,76.68351681830666,-28.94736842105264,23.21598186716706,23.399479491233866,22.992363636363635,23.3
0.0,0.0,22.935,22.37,23.44,-0.0228,23.23,93.51870458365252,0.3763309713536743,61.27703087861392,-60.52631578947373,23.100607956540863,23.177904565951746,22.96963636363636,22.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,22.7125,22.22,23.25,0.0396,22.25,88.8906558845435,0.3652957705750233,66.61766659629838,-37.89473684210535,23.152279703756687,23.21147152895528,23.01963636363636,23.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,22.64,22.21,23.11,-0.0279,22.94,84.69122596420623,0.4007006363858187,51.41063626333479,-81.578947368421,22.91175319722326,22.848955018345137,22.90745454545455,22.3
0.0,0.0,21.8325,21.16,22.25,0.024,21.7,77.78074362197562,0.4007006363858187,50.18379636045149,-60.59479553903352,22.7040700582307,22.564676992197583,22.78618181818182,22.22
0.0,0.0,22.5425,22.14,22.96,0.0066785,22.46,72.72650881202945,0.3960315643985971,55.88600861148006,-46.09665427509299,22.67796580623631,22.55155951471169,22.73581818181818,22.61
0.0,0.0,22.3475,21.98,22.6,0.0085164,22.31,67.75261978319426,0.3964795076671681,53.950677740354045,-50.18587360594798,22.621880619157874,22.496297177154474,22.664363636363635,22.5
0.0,0.0,22.5725,22.37,22.81,0.0039982,22.51,63.633892983986,0.3870775116175055,55.50703149769739,-46.46840148698882,22.613364729653878,22.508184689895856,22.624,22.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,22.965,22.68,23.23,0.0171,22.78,60.61421352654911,0.3524840421919838,63.35165030399822,-25.27881040892191,22.79565195305519,22.777658838152227,22.696909090909088,23.17
0.0,0.0,23.3975,23.09,23.93,0.0030108,23.25,58.87960588057615,0.3906980931614591,65.14835867955861,-22.02166064981948,22.979640856222844,23.026802697443543,22.801454545454543,23.32
0.0,0.0,23.165,22.82,23.37,-0.0072899,23.32,56.46558481865829,0.373121963974248,61.360225251201534,-28.158844765343005,23.05786017631945,23.11319983253285,22.867818181818183,23.15
0.0,0.0,23.365,22.52,24.63,0.0223,22.9,55.8322519526208,0.4179102774519909,64.83491022757505,-35.158501440922166,23.19921822774546,23.282820086875432,22.984181818181817,23.41
0.0,0.0,23.28,22.87,23.78,-0.0107,23.36,55.26225237318706,0.4165681216799961,58.13285641278237,-43.804034582132566,23.20164078356798,23.253380344025583,23.03309090909091,23.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
