f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,2225.0,2225.0,2225.0,0.0,2225.0,0,0,0,0,0,0,0,2225.0
0,0,1820.0,1820.0,1820.0,0.0,1820.0,0,0,0,0,0,0,0,1820.0
0,0,1820.0,1820.0,1820.0,0.0,1820.0,0,0,0,0,0,0,0,1820.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1793.5,1793.5,1793.5,0.0,1793.5,0,0,0,0,0,0,0,1793.5
0,0,1778.5,1778.5,1778.5,0.0,1778.5,0,0,0,0,0,0,0,1778.5
0,0,1794.0,1794.0,1794.0,0.0,1794.0,0,0,0,0,0,0,0,1794.0
0,0,1806.75,1806.75,1806.75,0.0,1806.75,0,0,0,0,0,0,0,1806.75
0,0,1806.75,1806.75,1806.75,0.0,1806.75,0,0,0,0,0,0,0,1806.75
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1811.75,1811.75,1811.75,0.0,1811.75,0,0,0,0,0,0,0,1811.75
0,0,1838.5,1838.5,1838.5,0.0,1838.5,0,0,0,0,0,0,0,1838.5
0,0,1861.5,1861.5,1861.5,0.0,1861.5,0,0,0,0,0,0,0,1861.5
0,0,1865.0,1865.0,1865.0,0.0,1865.0,0,0,0,0,0,0,0,1865.0
0,0,1860.0,1860.0,1860.0,0.0,1860.0,0,0,0,0,0,0,0,1860.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1860.0,1860.0,1860.0,0.0,1860.0,0,0,0,0,0,0,0,1860.0
0,0,1860.0,1860.0,1860.0,0.0,1860.0,0,0,0,0,0,0,0,1860.0
0,0,1860.0,1860.0,1860.0,0.0,1860.0,0,0,0,0,0,0,0,1860.0
0,0,1863.0,1863.0,1863.0,0.0,1863.0,0,0,0,0,0,0,0,1863.0
0,0,1880.0,1880.0,1880.0,0.0,1880.0,0,0,0,0,0,0,0,1880.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1880.0,1880.0,1880.0,0.0,1880.0,0,0,0,0,0,0,0,1880.0
0,0,1880.0,1880.0,1880.0,0.0,1880.0,0,0,0,0,0,0,0,1880.0
0,0,1880.0,1880.0,1880.0,0.0,1880.0,0,0,0,0,0,0,0,1880.0
0,0,1890.0,1890.0,1890.0,0.0,1890.0,0,0,0,0,0,0,0,1890.0
0,0,1890.0,1890.0,1890.0,0.0,1890.0,0,0,0,0,0,0,0,1890.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1890.0,1890.0,1890.0,0.0,1890.0,0,0,0,0,0,0,0,1890.0
0,0,1875.25,1875.25,1875.25,0.0,1875.25,0,0,0,0,0,0,0,1875.25
0,0,1860.75,1860.75,1860.75,0.0,1860.75,0,0,0,0,0,0,0,1860.75
0,0,1842.0,1842.0,1842.0,0.0,1842.0,0,0,0,0,0,0,0,1842.0
0,0,1832.5,1832.5,1832.5,0.0,1832.5,0,0,0,0,0,0,0,1832.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1823.5,1823.5,1823.5,0.0,1823.5,0,0,0,0,0,0,0,1823.5
0,0,1820.75,1820.75,1820.75,0.0,1820.75,0,0,0,0,0,0,0,1820.75
0,0,1811.75,1811.75,1811.75,0.0,1811.75,0,0,0,0,0,0,0,1811.75
0,0,1848.25,1848.25,1848.25,0.0,1848.25,0,0,0,0,0,0,0,1848.25
0,0,1842.0,1842.0,1842.0,0.0,1842.0,0,0,0,0,0,0,0,1842.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1832.75,1832.75,1832.75,0.0,1832.75,0,0,0,0,0,0,0,1832.75
0,0,1847.25,1847.25,1847.25,0.0,1847.25,0,0,0,0,0,0,0,1847.25
0,0,1839.25,1839.25,1839.25,0.0,1839.25,0,0,0,0,0,0,0,1839.25
0,0,1845.5,1845.5,1845.5,0.0,1845.5,0,0,0,0,0,0,0,1845.5
0,0,1857.25,1857.25,1857.25,0.0,1857.25,0,0,0,0,0,0,0,1857.25
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1855.0,1855.0,1855.0,0.0,1855.0,0,0,0,0,0,0,0,1855.0
0,0,1842.25,1842.25,1842.25,0.0,1842.25,0,0,0,0,0,0,0,1842.25
0,0,1836.0,1836.0,1836.0,0.0,1836.0,0,0,0,0,0,0,0,1836.0
0,0,1821.0,1821.0,1821.0,0.0,1821.0,0,0,0,0,0,0,0,1821.0
0,0,1823.75,1823.75,1823.75,0.0,1823.75,0,0,0,0,0,0,0,1823.75
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1774.5,1774.5,1774.5,0.0,1774.5,0,0,0,0,0,0,0,1774.5
0,0,1768.25,1768.25,1768.25,0.0,1768.25,0,0,0,0,0,0,0,1768.25
0,0,1757.75,1757.75,1757.75,0.0,1757.75,0,0,0,0,0,0,0,1757.75
0,0,1759.0,1759.0,1759.0,0.0,1759.0,0,0,0,0,0,0,0,1759.0
0,0,1758.0,1758.0,1758.0,0.0,1758.0,0,0,0,0,0,0,0,1758.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1751.75,1751.75,1751.75,0.0,1751.75,0,0,0,0,0,0,0,1751.75
0,0,1751.75,1751.75,1751.75,0.0,1751.75,0,0,0,0,0,0,0,1751.75
0,0,1770.5,1770.5,1770.5,0.0,1770.5,0,0,0,0,0,0,0,1770.5
0,0,1785.0,1785.0,1785.0,0.0,1785.0,0,0,0,0,0,0,0,1785.0
0,0,1788.75,1788.75,1788.75,0.0,1788.75,0,0,0,0,0,0,0,1788.75
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1799.5,1799.5,1799.5,0.0,1799.5,0,0,0,0,0,0,0,1799.5
0,0,1818.5,1818.5,1818.5,0.0,1818.5,0,0,0,0,0,0,0,1818.5
0,0,1825.25,1825.25,1825.25,0.0,1825.25,0,0,0,0,0,0,0,1825.25
0,0,1798.25,1798.25,1798.25,0.0,1798.25,0,0,0,0,0,0,0,1798.25
0,0,1807.0,1807.0,1807.0,0.0,1807.0,0,0,0,0,0,0,0,1807.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1791.0,1791.0,1791.0,0.0,1791.0,0,0,0,0,0,0,0,1791.0
0,0,1778.75,1778.75,1778.75,0.0,1778.75,0,0,0,0,0,0,0,1778.75
0,0,1787.0,1783.0,1791.0,-0.0044668,1791.0,0,0,0,0,0,0,0,1783.0
0,0,1798.75,1798.75,1798.75,0.0,1798.75,0,0,0,0,0,0,0,1798.75
0,0,1800.25,1800.0,1800.5,0.0002777778,1800.0,0,0,0,0,0,0,0,1800.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1780.25,1770.0,1790.5,0.0115819,1770.0,0,0,0,0,0,0,0,1790.5
0,0,1773.75,1773.75,1773.75,0.0,1773.75,0,0,0,0,0,0,0,1773.75
0,0,1766.0,1766.0,1766.0,0.0,1766.0,0,0,0,0,0,0,0,1766.0
0,0,1755.0,1755.0,1755.0,0.0,1755.0,0,0,0,0,0,0,0,1755.0
0,0,1748.25,1748.25,1748.25,0.0,1748.25,0,0,0,0,0,0,0,1748.25
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1732.25,1732.25,1732.25,0.0,1732.25,0,0,0,0,0,0,0,1732.25
0,0,1737.25,1737.25,1737.25,0.0,1737.25,0,0,0,0,0,0,0,1737.25
0,0,1707.25,1707.25,1707.25,0.0,1707.25,0,0,0,0,0,0,0,1707.25
0,0,1711.5,1711.5,1711.5,0.0,1711.5,0,0,0,0,0,0,0,1711.5
0,0,1719.5,1719.5,1719.5,0.0,1719.5,0,0,0,0,0,0,0,1719.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1739.75,1739.75,1739.75,0.0,1739.75,0,0,0,0,0,0,0,1739.75
0,0,1747.1875,1742.0,1749.75,0.0014308,1747.25,0,0,0,0,0,0,0,1749.75
0,0,1743.0,1743.0,1743.0,0.0,1743.0,0,0,0,0,0,0,0,1743.0
0,0,1752.0,1752.0,1752.0,0.0,1752.0,0,0,0,0,0,0,0,1752.0
0,0,1717.25,1717.25,1717.25,0.0,1717.25,0,0,0,0,0,0,0,1717.25
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1714.0,1714.0,1714.0,0.0,1714.0,0,0,0,0,0,0,0,1714.0
0,0,1724.5,1724.5,1724.5,0.0,1724.5,0,0,0,0,0,0,0,1724.5
0,0,1724.0,1720.5,1727.5,0.0040686,1720.5,0,0,0,0,0,0,0,1727.5
0,0,1731.75,1731.75,1731.75,0.0,1731.75,0,0,0,0,0,0,0,1731.75
0,0,1746.5,1746.5,1746.5,0.0,1746.5,0,0,0,0,0,0,0,1746.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1744.0,1744.0,1744.0,0.0,1744.0,0,0,0,0,0,0,0,1744.0
0,0,1727.5,1727.5,1727.5,0.0,1727.5,0,0,0,0,0,0,0,1727.5
0,0,1741.0,1740.0,1742.0,0.0011494,1740.0,0,0,0,0,0,0,0,1742.0
0,0,1735.0,1735.0,1735.0,0.0,1735.0,0,0,0,0,0,0,0,1735.0
0,0,1739.5,1739.5,1739.5,0.0,1739.5,0,0,0,0,0,0,0,1739.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1745.625,1742.0,1750.0,0.0037313,1742.0,0,0,0,0,0,0,0,1748.5
0,0,1745.5,1742.5,1748.5,-0.0034315,1748.5,0,0,0,0,0,0,0,1742.5
0,0,1760.25,1760.25,1760.25,0.0,1760.25,0,0,0,0,0,0,0,1760.25
0,0,1763.0,1763.0,1763.0,0.0,1763.0,0,0,0,0,0,0,0,1763.0
0,0,1794.0,1794.0,1794.0,0.0,1794.0,0,0,0,0,0,0,0,1794.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1809.5,1809.5,1809.5,0.0,1809.5,0,0,0,0,0,0,0,1809.5
0,0,1811.5,1811.5,1811.5,0.0,1811.5,0,0,0,0,0,0,0,1811.5
0,0,1802.0,1795.0,1809.0,0.0077994,1795.0,0,0,0,0,0,0,0,1809.0
0,0,1816.5,1816.5,1816.5,0.0,1816.5,0,0,0,0,0,0,0,1816.5
0,0,1818.25,1818.25,1818.25,0.0,1818.25,0,0,0,0,0,0,0,1818.25
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1794.0,1794.0,1794.0,0.0,1794.0,0,0,0,0,0,0,0,1794.0
0,0,1785.375,1780.75,1790.0,-0.0051676,1790.0,0,0,0,0,0,0,0,1780.75
0,0,1770.5,1770.5,1770.5,0.0,1770.5,0,0,0,0,0,0,0,1770.5
0,0,1750.5,1750.5,1750.5,0.0,1750.5,0,0,0,0,0,0,0,1750.5
0,0,1754.0,1754.0,1754.0,0.0,1754.0,0,0,0,0,0,0,0,1754.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1752.0,1752.0,1752.0,0.0,1752.0,0,0,0,0,0,0,0,1752.0
0,0,1745.75,1745.75,1745.75,0.0,1745.75,0,0,0,0,0,0,0,1745.75
0,0,1758.5,1758.5,1758.5,0.0,1758.5,0,0,0,0,0,0,0,1758.5
0,0,1754.0,1754.0,1754.0,0.0,1754.0,0,0,0,0,0,0,0,1754.0
0,0,1769.5,1769.5,1769.5,0.0,1769.5,0,0,0,0,0,0,0,1769.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1767.5,1767.5,1767.5,0.0,1767.5,0,0,0,0,0,0,0,1767.5
0,0,1785.5,1785.5,1785.5,0.0,1785.5,0,0,0,0,0,0,0,1785.5
0,0,1785.25,1785.25,1785.25,0.0,1785.25,0,0,0,0,0,0,0,1785.25
0,0,1785.0,1785.0,1785.0,0.0,1785.0,0,0,0,0,0,0,0,1785.0
0,0,1785.0,1785.0,1785.0,0.0,1785.0,0,0,0,0,0,0,0,1785.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1806.75,1806.75,1806.75,0.0,1806.75,0,0,0,0,0,0,0,1806.75
0,0,1782.5,1782.5,1782.5,0.0,1782.5,0,0,0,0,0,0,0,1782.5
0,0,1771.5,1771.5,1771.5,0.0,1771.5,0,0,0,0,0,0,0,1771.5
0,0,1764.75,1764.75,1764.75,0.0,1764.75,0,0,0,0,0,0,0,1764.75
0,0,1770.5,1770.5,1770.5,0.0,1770.5,0,0,0,0,0,0,0,1770.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1775.5,1775.5,1775.5,0.0,1775.5,0,0,0,0,0,0,0,1775.5
0,0,1772.5,1772.5,1772.5,0.0,1772.5,0,0,0,0,0,0,0,1772.5
0,0,1775.5,1775.5,1775.5,0.0,1775.5,0,0,0,0,0,0,0,1775.5
0,0,1786.75,1786.75,1786.75,0.0,1786.75,0,0,0,0,0,0,0,1786.75
0,0,1777.0,1777.0,1777.0,0.0,1777.0,0,0,0,0,0,0,0,1777.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1784.75,1784.75,1784.75,0.0,1784.75,0,0,0,0,0,0,0,1784.75
0,0,1774.25,1774.25,1774.25,0.0,1774.25,0,0,0,0,0,0,0,1774.25
