f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,10.6575,10.45,10.83,0.0123,10.61,175.542720118227,0.2312141864159724,98.8893069764196,-29.850746268656746,10.726131928975988,10.812174167108116,10.605090909090908,10.74
0.0,0.0,11.09,10.93,11.35,0.0164,10.95,165.8982959522828,0.2887022687822182,99.2480017979034,-14.19354838709671,10.89040801472855,11.004368388704192,10.719636363636363,11.13
0.0,0.0,11.1275,10.99,11.27,0.0118,11.06,157.21831420293304,0.2922670012163537,99.28734369760488,-12.030075187969937,11.0281330633818,11.150803721474269,10.830363636363638,11.19
0.0,0.0,11.4875,11.32,11.67,-0.0173,11.58,149.58528881139918,0.3063804824070883,99.39813323048882,-21.01449275362312,11.188490060798216,11.323676951819648,10.95581818181818,11.38
0.0,0.0,11.365,11.29,11.45,-0.0035149,11.38,142.5874171314428,0.3019867546764264,95.91036183564536,-26.61290322580645,11.288944247141496,11.408834567587856,11.052363636363635,11.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,11.3325,11.21,11.41,-0.0026385,11.37,135.92007342915375,0.3092717251867685,95.91036183564536,-27.049180327868843,11.35787823148232,11.45271972430528,11.13090909090909,11.34
0.0,0.0,11.39,11.32,11.52,-0.0035149,11.38,129.99281457366848,0.3005345238071659,95.91036183564536,-27.049180327868843,11.403433105909404,11.469497398962838,11.19618181818182,11.34
0.0,0.0,11.3875,11.21,11.5,0.0123,11.35,124.08011811652524,0.2826322699197668,96.535668388036,-14.754098360655709,11.481418332396649,11.537031239004625,11.275636363636366,11.49
0.0,0.0,11.5825,11.41,11.79,-0.0008643042,11.57,119.0135780690071,0.2866077458827657,96.7901503783148,-17.164179104477515,11.557047506081604,11.60308579220056,11.351454545454546,11.56
0.0,0.0,11.5675,11.4,11.63,-0.0017197,11.63,114.3957575539734,0.2375205254288563,96.9669751166678,-13.432835820895503,11.624301828760574,11.659369184901442,11.423090909090911,11.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,11.2925,10.86,11.47,0.0052678,11.39,107.35375098729769,0.1433910736412834,81.08494446063261,-36.55913978494623,11.61595796778499,11.614475265030238,11.448181818181816,11.45
0.0,0.0,11.3525,11.13,11.46,0.0070361,11.37,101.0159450772895,0.1165547081846117,81.08494446063261,-36.55913978494623,11.604886194147284,11.575511947502983,11.460363636363637,11.45
0.0,0.0,11.3325,11.23,11.41,-0.0061511,11.38,95.31191975828216,0.0973704267218747,68.89521001801023,-51.61290322580632,11.546073314467588,11.479117419128148,11.441272727272729,11.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,11.155,10.92,11.33,0.019,11.08,88.5051388280545,0.1051475154247593,67.28952290960521,-53.76344086021507,11.492287062302912,11.400725500242842,11.416363636363636,11.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,11.27,11.18,11.45,-0.000890472,11.23,82.72538234980583,0.1192644121270044,61.69754661262814,-61.29032258064502,11.426453717885137,11.314002672947774,11.380363636363636,11.22
0.0,0.0,10.8775,10.6,11.03,-0.0127,11.01,74.86239439828434,0.2007710138441304,42.20989093301477,-77.31092436974792,11.259856066898523,11.096967745240956,11.28290909090909,10.87
0.0,0.0,11.0,10.83,11.17,-0.0090498,11.05,68.28227977670791,0.2355419283269967,46.50143218917576,-70.58823529411767,11.161890496671171,10.990092688647492,11.208545454545456,10.95
0.0,0.0,11.06,10.91,11.15,0.0018051,11.08,62.36017661728913,0.2364508405567636,53.669263049479085,-57.98319327731091,11.13889237125712,10.991259188100084,11.168545454545454,11.1
0.0,0.0,11.07,11.01,11.18,-0.0045167,11.07,57.153167428271104,0.2280811259179505,49.72154248129563,-59.22330097087384,11.095764952715246,10.961198720547626,11.121090909090906,11.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,11.135,11.01,11.23,-0.0017921,11.16,52.68586611616471,0.1894729532149642,55.21225515053715,-37.93103448275858,11.10405932699002,11.000494350309232,11.105272727272729,11.14
0.0,0.0,11.2075,11.1,11.4,-0.0080285,11.21,49.404300765108246,0.166976046186272,54.11781191572,-39.53488372093037,11.104188310529658,11.022328182239985,11.094363636363637,11.12
0.0,0.0,11.0575,10.92,11.16,-0.0027051,11.09,45.36770903771871,0.1339253523422659,50.76361147579443,-45.88235294117634,11.084962644617198,11.013447513358894,11.078545454545454,11.06
0.0,0.0,11.0625,10.95,11.18,0.0164,10.97,41.835132991940455,0.1173712060089698,55.37349938224804,-35.29411764705871,11.101019425465314,11.051412604351189,11.08618181818182,11.15
0.0,0.0,11.485,11.32,11.7,0.0052493,11.43,40.83003467017407,0.1590471628165686,67.96386180559139,-19.090909090909012,11.225784066348256,11.233235927918836,11.158545454545456,11.49
