f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,61.05,59.59,61.66,-0.0040856,61.19,178.8857084032898,1.223667029873731,67.91545241070945,-72.45409015025045,61.91622682658161,61.69050319017629,61.73327272727273,60.94
0.0,0.0,62.91,61.55,63.64,0.0214,61.55,167.5640627485014,1.229048819209391,73.9571238407495,-42.35500878734631,62.338485429322,62.25044146693183,61.93927272727272,62.87
0.0,0.0,62.81,62.19,63.32,-0.0031756,62.98,157.37458165919185,1.2024957380381844,73.242517056515,-43.93673110720564,62.60897307481525,62.56803291016597,62.09254545454546,62.78
0.0,0.0,63.29,62.97,64.02,-0.0121,63.81,148.30293897380002,1.206127688099398,74.04744242289814,-39.36731107205629,62.88164751271353,62.87694237568893,62.25945454545455,63.04
0.0,0.0,62.91,62.0001,63.33,0.0006362335,62.87,139.43077737354034,1.219194816261945,72.830276429809,-41.65202108963103,63.02644122691937,63.001420437186624,62.37327272727272,62.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,62.82,62.38,63.42,-0.0049214,62.99,131.46345048513288,1.1944555244964117,70.55055309645442,-45.69420035149389,63.04348689586976,62.9569268141121,62.43836363636363,62.68
0.0,0.0,62.22,61.5,63.2199,-0.0148,62.69,123.57049870474984,1.0003424413669542,61.93429209740389,-53.5331905781586,62.73874930579952,62.489973001488806,62.34490909090909,61.76
0.0,0.0,62.77,62.34,63.25,0.0036894,62.34,116.4749848290576,0.7056373006013782,65.99678893871942,-32.731376975169255,62.77016466101533,62.530226837303786,62.444,62.57
0.0,0.0,64.94,62.41,65.6586,0.049,62.41,110.71611157984862,1.1808149728047996,76.1305720670996,-3.1078008107307777,63.74325544720062,63.86089623740016,63.02145454545455,65.47
0.0,0.0,65.54,64.92,66.05,-0.0025816,65.85,105.62907390914977,1.392041666043084,76.68953297631275,-5.727554179566419,64.5211672810205,64.82811569463458,63.57672727272728,65.68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,66.44,65.68,67.2,-0.0025641,66.3,101.33500815369892,1.466659128768509,77.9205884681814,-18.77192982456152,65.22898702825461,65.64394717971075,64.13309090909092,66.13
0.0,0.0,66.32,65.56,66.67,0.0108,65.94,97.33790143075096,1.7010235154165283,79.32265840762474,-9.64912280701749,65.90450315563433,66.37956088761948,64.68963636363637,66.65
0.0,0.0,66.47,65.98,66.98,-0.0077949,66.71,93.8287292528342,1.769315121734962,74.6625402911433,-17.719298245614116,66.22928657460308,66.61082715993582,65.09381818181818,66.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,66.15,64.86,66.86,0.0212,65.45,89.308114214797,1.8618259854239885,76.80226662650378,-6.315789473684196,66.66028087739693,67.00512665132428,65.55418181818182,66.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,66.59,66.18,66.9,0.0042194,66.36,85.25662325215055,1.8417841893120928,74.64709335621,-9.824561403508806,66.88862315026236,67.12556548342795,65.9090909090909,66.64
0.0,0.0,67.17,66.585,67.89,0.0059961,66.71,82.03880731085484,1.7460939264541304,76.37791283912837,-12.206572769953068,67.18863332795696,67.36819826819112,66.28163636363637,67.11
0.0,0.0,66.32,65.37,67.99,-0.0254,67.99,77.57482515034964,1.225456649580066,67.16409272966806,-30.61946902654854,67.10587540301015,67.09899664447262,66.4190909090909,66.26
0.0,0.0,66.14,65.58,66.9,-0.0102,66.79,73.55724120589495,0.4834418269037137,65.612113886971,-33.69175627240136,66.97292586968179,66.81040218184529,66.44745454545455,66.11
0.0,0.0,66.14,65.7871,66.83,-0.0028714,66.17,69.94141565588573,0.414305442880008,64.18392869946834,-64.21725239616593,66.81242491366257,66.5281010029486,66.38781818181818,65.98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,65.83,65.37,66.22,-0.0019658,66.13,66.05493676700372,0.370687199671098,64.31670165396889,-63.57827476038332,66.68407551620633,66.32706949540284,66.32254545454546,66.0
0.0,0.0,64.85,64.43,66.11,-0.0199,65.8,61.20283922314066,0.6819684743446741,49.05991945269446,-98.31460674157336,66.07636805125773,65.49584166128075,65.9769090909091,64.49
0.0,0.0,64.94,64.43,65.48,0.0035615,64.58,56.8359514336639,0.7836587267427075,51.75470770588982,-89.32584269662931,65.72289882096129,65.08194107989625,65.71927272727272,64.81
0.0,0.0,65.69,64.5,66.02,0.0212,64.59,53.46877217457624,0.7823809813639401,60.16858390597551,-57.022471910112586,65.83626573883025,65.33434290726244,65.70418181818182,65.96
0.0,0.0,66.75,65.98,67.2,0.0077249,66.02,51.53087481142367,0.7549364211640617,63.65896592339276,-41.011235955056144,66.10467613050021,65.7713436082174,65.7969090909091,66.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
