f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1343.025,1336.6,1347.1,-0.0019324,1345.5,0,0,0,0,0,0,0,1342.9
0,0,1348.8,1342.1,1358.5,0.0050599,1343.9,0,0,0,0,0,0,0,1350.7
0,0,1352.65,1344.8,1366.6,-0.0011848,1350.4,0,0,0,0,0,0,0,1348.8
0,0,1380.1,1361.3,1397.7,0.023745,1364.5,0,0,0,0,0,0,0,1396.9
0,0,1398.2,1386.1,1415.4,0.0063974,1391.2,0,0,0,0,0,0,0,1400.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1412.7,1403.6,1425.1,0.0101859,1403.9,0,0,0,0,0,0,0,1418.2
0,0,1425.025,1415.1,1442.9,-0.003302,1423.4,0,0,0,0,0,0,0,1418.7
0,0,1418.875,1405.0,1427.9,-0.0082679,1427.2,0,0,0,0,0,0,0,1415.4
0,0,1410.35,1401.4,1415.3,-0.0004955051,1412.7,0,0,0,0,0,0,0,1412.0
0,0,1415.85,1408.6,1427.8,0.0002830255,1413.3,0,0,0,0,0,0,0,1413.7
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1394.425,1384.7,1401.9,-0.0089171,1401.8,0,0,0,0,0,0,0,1389.3
0,0,1401.1,1386.2,1424.0,0.0157264,1386.2,0,0,0,0,0,0,0,1408.0
0,0,1425.325,1414.7,1441.0,-0.0026672,1424.7,0,0,0,0,0,0,0,1420.9
0,0,1409.275,1388.6,1426.8,-0.0151238,1421.6,0,0,0,0,0,0,0,1400.1
0,0,1401.73332,1390.19995,1418.30005,-0.0152296,1418.30005,0,0,0,0,0,0,0,1396.69995
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1401.175,1393.8,1409.9,-0.0007137759,1401.0,0,0,0,0,0,0,0,1400.0
0,0,1397.075,1387.5,1402.4,0.0018599,1397.9,0,0,0,0,0,0,0,1400.5
0,0,1406.35,1391.8,1421.1,0.0089286,1400.0,0,0,0,0,0,0,0,1412.5
0,0,1414.975,1402.7,1429.4,-0.010133,1421.1,0,0,0,0,0,0,0,1406.7
0,0,1410.45,1404.5,1418.9,0.0042668,1406.2,0,0,0,0,0,0,0,1412.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1415.525,1409.3,1421.6,-0.0029625,1417.7,0,0,0,0,0,0,0,1413.5
0,0,1412.425,1402.1,1420.0,-0.0036713,1416.4,0,0,0,0,0,0,0,1411.2
0,0,1415.225,1401.3,1428.4,0.0109383,1407.9,0,0,0,0,0,0,0,1423.3
0,0,1430.475,1415.6,1449.7,-0.000280014,1428.5,0,0,0,0,0,0,0,1428.1
0,0,1437.625,1421.1,1454.4,-0.014914,1448.3,0,0,0,0,0,0,0,1426.7
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1427.3,1423.0,1430.8,-0.0011201,1428.5,0,0,0,0,0,0,0,1426.9
0,0,1423.425,1414.6,1431.4,-0.0030154,1426.0,0,0,0,0,0,0,0,1421.7
0,0,1422.225,1416.7,1430.0,0.0035246,1418.6,0,0,0,0,0,0,0,1423.6
0,0,1421.675,1411.1,1434.1,-0.0084805,1426.8,0,0,0,0,0,0,0,1414.7
0,0,1417.975,1412.9,1424.8,0.0031098,1414.9,0,0,0,0,0,0,0,1419.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1420.45,1414.4,1428.0,0.0009866103,1419.0,0,0,0,0,0,0,0,1420.4
0,0,1440.45,1434.8,1445.7,0.0015978,1439.5,0,0,0,0,0,0,0,1441.8
0,0,1437.9,1422.3,1447.8,-0.0040867,1443.7,0,0,0,0,0,0,0,1437.8
0,0,1432.075,1412.1,1458.2,0.0047699,1425.6,0,0,0,0,0,0,0,1432.4
0,0,1454.85,1442.5,1461.9,0.0,1457.5,0,0,0,0,0,0,0,1457.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1464.575,1448.8,1481.8,0.0174338,1451.2,0,0,0,0,0,0,0,1476.5
0,0,1480.075,1468.2,1486.8,0.002093,1481.1,0,0,0,0,0,0,0,1484.2
0,0,1503.325,1484.3,1522.7,0.0221295,1486.7,0,0,0,0,0,0,0,1519.6
0,0,1511.125,1501.6,1521.3,-0.0017195,1512.1,0,0,0,0,0,0,0,1509.5
0,0,1512.925,1506.2,1521.1,-0.0048816,1515.9,0,0,0,0,0,0,0,1508.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1514.125,1498.6,1531.5,0.0053008,1509.2,0,0,0,0,0,0,0,1517.2
0,0,1517.85,1488.9,1546.1,-0.0053866,1522.3,0,0,0,0,0,0,0,1514.1
0,0,1520.05,1504.5,1534.9,0.0097819,1513.0,0,0,0,0,0,0,0,1527.8
0,0,1528.45,1518.3,1537.7,0.0030132,1526.6,0,0,0,0,0,0,0,1531.2
0,0,1527.5,1513.9,1538.6,-0.0067149,1533.9,0,0,0,0,0,0,0,1523.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1515.375,1503.3,1523.6,-0.0074852,1523.0,0,0,0,0,0,0,0,1511.6
0,0,1510.95,1503.0,1518.8,0.0062405,1506.3,0,0,0,0,0,0,0,1515.7
0,0,1514.75,1506.5,1518.4,-0.0017782,1518.4,0,0,0,0,0,0,0,1515.7
0,0,1509.4,1502.1,1514.6,-0.0025787,1512.4,0,0,0,0,0,0,0,1508.5
0,0,1522.425,1503.0,1540.3,0.019088,1508.8,0,0,0,0,0,0,0,1537.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1545.6,1534.8,1565.0,-0.0053061,1545.4,0,0,0,0,0,0,0,1537.2
0,0,1544.725,1535.3,1554.5,0.0094321,1537.3,0,0,0,0,0,0,0,1551.8
0,0,1549.725,1541.4,1556.6,-0.0017399,1551.8,0,0,0,0,0,0,0,1549.1
0,0,1543.675,1528.6,1559.8,-0.0080676,1549.4,0,0,0,0,0,0,0,1536.9
0,0,1533.45,1525.6,1541.9,-0.00488,1536.9,0,0,0,0,0,0,0,1529.4
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1544.5,1528.0,1558.9,0.0134836,1535.2,0,0,0,0,0,0,0,1555.9
0,0,1538.06669,1521.0,1547.30005,0.0151028,1522.90002,0,0,0,0,0,0,0,1545.90002
0,0,1556.3,1542.6,1566.2,0.0028278,1556.0,0,0,0,0,0,0,0,1560.4
0,0,1540.775,1514.3,1561.9,-0.0229922,1561.4,0,0,0,0,0,0,0,1525.5
0,0,1522.0,1510.7,1536.2,-0.0066203,1525.6,0,0,0,0,0,0,0,1515.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1514.2,1505.5,1523.8,-0.0034951,1516.4,0,0,0,0,0,0,0,1511.1
0,0,1501.85,1492.1,1509.1,-0.0051758,1507.0,0,0,0,0,0,0,0,1499.2
0,0,1499.05,1492.9,1506.2,0.0062253,1493.9,0,0,0,0,0,0,0,1503.2
0,0,1510.325,1496.8,1532.2,0.0016612,1504.9,0,0,0,0,0,0,0,1507.4
0,0,1503.925,1493.1,1516.6,-0.0046465,1506.5,0,0,0,0,0,0,0,1499.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1511.925,1503.4,1519.7,-0.0010574,1513.1,0,0,0,0,0,0,0,1511.5
0,0,1508.95,1500.9,1515.0,0.0045802,1506.5,0,0,0,0,0,0,0,1513.4
0,0,1508.925,1490.7,1519.5,0.0040405,1509.7,0,0,0,0,0,0,0,1515.8
0,0,1504.15,1496.3,1512.1,0.0027963,1502.0,0,0,0,0,0,0,0,1506.2
0,0,1512.925,1505.3,1524.5,0.0055084,1506.8,0,0,0,0,0,0,0,1515.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1526.325,1517.9,1534.4,0.0065725,1521.5,0,0,0,0,0,0,0,1531.5
0,0,1534.025,1522.8,1543.3,0.0067983,1529.8,0,0,0,0,0,0,0,1540.2
0,0,1525.575,1507.4,1542.8,-0.0178595,1539.8,0,0,0,0,0,0,0,1512.3
0,0,1513.175,1507.1,1519.5,0.002846,1510.9,0,0,0,0,0,0,0,1515.2
0,0,1506.475,1493.3,1514.4,-0.0035719,1511.8,0,0,0,0,0,0,0,1506.4
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1488.075,1470.5,1507.2,-0.0191783,1501.7,0,0,0,0,0,0,0,1472.9
0,0,1481.375,1465.0,1493.5,0.0074425,1478.0,0,0,0,0,0,0,0,1489.0
0,0,1496.3,1480.5,1511.4,0.0151474,1485.4,0,0,0,0,0,0,0,1507.9
0,0,1511.725,1501.7,1525.8,0.0054463,1505.6,0,0,0,0,0,0,0,1513.8
0,0,1512.025,1501.4,1522.2,0.0008600159,1511.6,0,0,0,0,0,0,0,1512.9
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1508.775,1493.3,1518.8,-0.0093507,1518.6,0,0,0,0,0,0,0,1504.4
0,0,1502.5,1492.1,1515.3,0.0034697,1498.7,0,0,0,0,0,0,0,1503.9
0,0,1511.7,1505.1,1518.0,0.0012575,1510.9,0,0,0,0,0,0,0,1512.8
0,0,1507.425,1495.7,1522.3,-0.0065528,1510.8,0,0,0,0,0,0,0,1500.9
0,0,1493.25,1478.0,1508.0,-0.0064073,1498.3,0,0,0,0,0,0,0,1488.7
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1494.55,1487.1,1501.5,0.0037534,1492.0,0,0,0,0,0,0,0,1497.6
0,0,1491.25,1480.8,1503.0,-0.0094812,1497.7,0,0,0,0,0,0,0,1483.5
0,0,1488.725,1480.6,1495.5,0.0061961,1484.8,0,0,0,0,0,0,0,1494.0
0,0,1495.15,1487.0,1501.1,0.0027439,1494.2,0,0,0,0,0,0,0,1498.3
0,0,1493.975,1488.3,1497.9,-0.0010029,1495.6,0,0,0,0,0,0,0,1494.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1491.8,1484.8,1498.7,-0.0050147,1495.6,0,0,0,0,0,0,0,1488.1
0,0,1487.775,1484.0,1492.1,0.0,1487.5,0,0,0,0,0,0,0,1487.5
0,0,1494.225,1490.7,1499.4,0.003085,1491.1,0,0,0,0,0,0,0,1495.7
0,0,1499.275,1490.4,1506.9,0.006421,1495.1,0,0,0,0,0,0,0,1504.7
0,0,1508.925,1503.1,1520.9,-0.0007302177,1506.4,0,0,0,0,0,0,0,1505.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1501.575,1492.3,1510.8,-0.0076954,1507.4,0,0,0,0,0,0,0,1495.8
0,0,1491.925,1485.6,1497.1,-0.0024092,1494.3,0,0,0,0,0,0,0,1490.7
0,0,1492.4,1483.1,1499.3,0.0041597,1490.5,0,0,0,0,0,0,0,1496.7
0,0,1506.575,1496.0,1516.7,0.0106752,1498.8,0,0,0,0,0,0,0,1514.8
0,0,1512.725,1505.4,1519.0,-0.0024421,1515.1,0,0,0,0,0,0,0,1511.4
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1512.775,1506.5,1517.1,-0.0034951,1516.4,0,0,0,0,0,0,0,1511.1
0,0,1496.975,1480.7,1511.9,-0.0184573,1511.6,0,0,0,0,0,0,0,1483.7
0,0,1489.275,1483.8,1495.9,0.0059287,1484.3,0,0,0,0,0,0,0,1493.1
0,0,1478.375,1461.4,1493.6,-0.017224,1492.1,0,0,0,0,0,0,0,1466.4
0,0,1465.7,1457.0,1473.9,-0.0041525,1469.0,0,0,0,0,0,0,0,1462.9
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1458.35,1448.9,1467.4,-0.0019863,1460.0,0,0,0,0,0,0,0,1457.1
0,0,1454.275,1446.2,1461.3,-0.0015111,1455.9,0,0,0,0,0,0,0,1453.7
0,0,1461.025,1456.4,1467.9,0.0046687,1456.5,0,0,0,0,0,0,0,1463.3
0,0,1468.65,1461.7,1475.5,0.0064208,1464.0,0,0,0,0,0,0,0,1473.4
0,0,1468.825,1462.8,1472.1,-0.0023099,1471.9,0,0,0,0,0,0,0,1468.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1467.675,1456.6,1474.4,0.0027933,1467.8,0,0,0,0,0,0,0,1471.9
0,0,1471.775,1465.1,1475.8,0.0016305,1471.9,0,0,0,0,0,0,0,1474.3
0,0,1473.05,1466.1,1479.2,0.0010185,1472.7,0,0,0,0,0,0,0,1474.2
0,0,1469.25,1462.4,1475.9,-0.0077961,1475.1,0,0,0,0,0,0,0,1463.6
0,0,1465.625,1461.2,1473.4,-0.0004780441,1464.3,0,0,0,0,0,0,0,1463.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1458.45,1453.9,1462.0,-0.0028063,1461.0,0,0,0,0,0,0,0,1456.9
0,0,1456.975,1449.6,1462.9,0.0035736,1455.1,0,0,0,0,0,0,0,1460.3
0,0,1464.325,1459.1,1469.1,-0.0051079,1468.3,0,0,0,0,0,0,0,1460.8
0,0,1466.475,1459.1,1472.9,0.0078702,1461.2,0,0,0,0,0,0,0,1472.7
0,0,1461.09998,1452.09998,1465.59998,0.0082554,1453.59998,0,0,0,0,0,0,0,1465.59998
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1467.75,1459.8,1471.7,-0.0007481466,1470.3,0,0,0,0,0,0,0,1469.2
0,0,1476.375,1465.4,1487.7,0.0111717,1468.0,0,0,0,0,0,0,0,1484.4
0,0,1482.5,1476.7,1489.9,-0.0020227,1483.2,0,0,0,0,0,0,0,1480.2
0,0,1481.7,1478.0,1485.7,0.0020946,1480.0,0,0,0,0,0,0,0,1483.1
0,0,1473.675,1463.3,1485.3,-0.010736,1481.0,0,0,0,0,0,0,0,1465.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,1465.45,1463.0,1469.8,0.0005464108,1464.1,0,0,0,0,0,0,0,1464.9
0,0,1468.075,1464.2,1473.7,0.0012276,1466.3,0,0,0,0,0,0,0,1468.1
