f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.63813,2.6155,2.656,0.0045549,2.6345,0,0,0,0,0,0,0,2.6465
0,0,2.67725,2.6435,2.7125,0.02,2.65,0,0,0,0,0,0,0,2.703
0,0,2.69225,2.6735,2.709,-0.0094235,2.706,0,0,0,0,0,0,0,2.6805
0,0,2.71025,2.694,2.7375,0.0053753,2.6975,0,0,0,0,0,0,0,2.712
0,0,2.70612,2.686,2.7235,-0.0022136,2.7105,0,0,0,0,0,0,0,2.7045
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.70113,2.68,2.7125,-0.0003694809,2.7065,0,0,0,0,0,0,0,2.7055
0,0,2.72275,2.699,2.7475,0.0097822,2.709,0,0,0,0,0,0,0,2.7355
0,0,2.723,2.6995,2.7515,-0.0051329,2.7275,0,0,0,0,0,0,0,2.7135
0,0,2.7145,2.7,2.728,0.0011056,2.7135,0,0,0,0,0,0,0,2.7165
0,0,2.71625,2.7025,2.728,-0.0027563,2.721,0,0,0,0,0,0,0,2.7135
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.718,2.677,2.757,-0.0225455,2.75,0,0,0,0,0,0,0,2.688
0,0,2.676,2.6555,2.6965,-0.0089286,2.688,0,0,0,0,0,0,0,2.664
0,0,2.66763,2.6365,2.686,0.0067542,2.665,0,0,0,0,0,0,0,2.683
0,0,2.66938,2.6445,2.6875,-0.008754,2.6845,0,0,0,0,0,0,0,2.661
0,0,2.6635,2.6505,2.6815,-0.0083924,2.681,0,0,0,0,0,0,0,2.6585
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.668,2.6545,2.689,-0.0039333,2.6695,0,0,0,0,0,0,0,2.659
0,0,2.63838,2.612,2.659,-0.0122295,2.6575,0,0,0,0,0,0,0,2.625
0,0,2.66163,2.625,2.6995,0.0251142,2.628,0,0,0,0,0,0,0,2.694
0,0,2.68825,2.6785,2.698,-0.0005578282,2.689,0,0,0,0,0,0,0,2.6875
0,0,2.69225,2.6725,2.7145,0.0022321,2.688,0,0,0,0,0,0,0,2.694
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.7055,2.6855,2.728,0.0050046,2.6975,0,0,0,0,0,0,0,2.711
0,0,2.71113,2.694,2.7355,-0.0055249,2.715,0,0,0,0,0,0,0,2.7
0,0,2.7025,2.682,2.717,0.0077922,2.695,0,0,0,0,0,0,0,2.716
0,0,2.706,2.6925,2.7205,0.0033321,2.701,0,0,0,0,0,0,0,2.71
0,0,2.7475,2.715,2.803,0.0121346,2.7195,0,0,0,0,0,0,0,2.7525
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.73812,2.718,2.7595,-0.0112604,2.753,0,0,0,0,0,0,0,2.722
0,0,2.70838,2.6875,2.73,-0.005891,2.716,0,0,0,0,0,0,0,2.7
0,0,2.70913,2.698,2.7205,0.0022173,2.706,0,0,0,0,0,0,0,2.712
0,0,2.71338,2.7,2.7385,-0.0029504,2.7115,0,0,0,0,0,0,0,2.7035
0,0,2.69688,2.684,2.712,-0.0079438,2.7065,0,0,0,0,0,0,0,2.685
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.70263,2.6815,2.721,0.0100353,2.6905,0,0,0,0,0,0,0,2.7175
0,0,2.69963,2.675,2.7265,-0.014714,2.7185,0,0,0,0,0,0,0,2.6785
0,0,2.673,2.6575,2.691,-0.0042951,2.6775,0,0,0,0,0,0,0,2.666
0,0,2.653,2.619,2.668,0.0022561,2.6595,0,0,0,0,0,0,0,2.6655
0,0,2.59463,2.56,2.6275,-0.0183241,2.6195,0,0,0,0,0,0,0,2.5715
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.5535,2.5315,2.578,-0.0064441,2.5605,0,0,0,0,0,0,0,2.544
0,0,2.55138,2.535,2.569,0.0053066,2.544,0,0,0,0,0,0,0,2.5575
0,0,2.56813,2.5425,2.592,0.0015582,2.567,0,0,0,0,0,0,0,2.571
0,0,2.59463,2.5715,2.615,0.0088992,2.5845,0,0,0,0,0,0,0,2.6075
0,0,2.59638,2.582,2.6175,-0.0030805,2.597,0,0,0,0,0,0,0,2.589
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.59063,2.568,2.612,-0.0048123,2.5975,0,0,0,0,0,0,0,2.585
0,0,2.60513,2.567,2.6415,0.0185902,2.582,0,0,0,0,0,0,0,2.63
0,0,2.609,2.5785,2.635,-0.014636,2.6305,0,0,0,0,0,0,0,2.592
0,0,2.59188,2.5745,2.606,0.0011574,2.592,0,0,0,0,0,0,0,2.595
0,0,2.595,2.585,2.6065,0.000578369,2.5935,0,0,0,0,0,0,0,2.595
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.60363,2.589,2.626,0.0013472,2.598,0,0,0,0,0,0,0,2.6015
0,0,2.58763,2.57,2.6035,-0.00808,2.599,0,0,0,0,0,0,0,2.578
0,0,2.5815,2.5735,2.591,0.0036879,2.576,0,0,0,0,0,0,0,2.5855
0,0,2.56713,2.5475,2.5835,-0.0087209,2.58,0,0,0,0,0,0,0,2.5575
0,0,2.54688,2.5235,2.5755,-0.0111393,2.5585,0,0,0,0,0,0,0,2.53
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.52487,2.491,2.549,0.01093,2.516,0,0,0,0,0,0,0,2.5435
0,0,2.546,2.529,2.571,0.0043367,2.5365,0,0,0,0,0,0,0,2.5475
0,0,2.55163,2.537,2.566,0.0017651,2.5495,0,0,0,0,0,0,0,2.554
0,0,2.57413,2.553,2.597,0.0033087,2.569,0,0,0,0,0,0,0,2.5775
0,0,2.564,2.546,2.5835,-0.0091262,2.575,0,0,0,0,0,0,0,2.5515
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.53325,2.482,2.568,-0.0105675,2.555,0,0,0,0,0,0,0,2.528
0,0,2.5055,2.4675,2.5365,-0.0086802,2.5345,0,0,0,0,0,0,0,2.5125
0,0,2.56225,2.5275,2.5975,0.0260973,2.529,0,0,0,0,0,0,0,2.595
0,0,2.61725,2.5875,2.649,0.0198803,2.5905,0,0,0,0,0,0,0,2.642
0,0,2.63363,2.62,2.649,0.0009500285,2.6315,0,0,0,0,0,0,0,2.634
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.62638,2.6135,2.633,-0.00152,2.6315,0,0,0,0,0,0,0,2.6275
0,0,2.62525,2.6025,2.643,0.000190295,2.6275,0,0,0,0,0,0,0,2.628
0,0,2.619,2.6005,2.638,-0.0032406,2.623,0,0,0,0,0,0,0,2.6145
0,0,2.62913,2.59,2.668,0.0085943,2.618,0,0,0,0,0,0,0,2.6405
0,0,2.67175,2.6405,2.7045,0.0215705,2.6425,0,0,0,0,0,0,0,2.6995
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.66913,2.638,2.7065,-0.0189485,2.6915,0,0,0,0,0,0,0,2.6405
0,0,2.63075,2.606,2.6475,-0.0058657,2.6425,0,0,0,0,0,0,0,2.627
0,0,2.61838,2.5975,2.638,-0.0045714,2.625,0,0,0,0,0,0,0,2.613
0,0,2.61225,2.6035,2.624,-0.0017222,2.613,0,0,0,0,0,0,0,2.6085
0,0,2.6085,2.586,2.634,-0.0003835091,2.6075,0,0,0,0,0,0,0,2.6065
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.59937,2.5725,2.6195,0.0067463,2.594,0,0,0,0,0,0,0,2.6115
0,0,2.61113,2.596,2.6235,-0.0045828,2.6185,0,0,0,0,0,0,0,2.6065
0,0,2.6045,2.587,2.615,0.0030722,2.604,0,0,0,0,0,0,0,2.612
0,0,2.59525,2.5735,2.6185,-0.0130193,2.6115,0,0,0,0,0,0,0,2.5775
0,0,2.5895,2.5705,2.613,0.007955,2.577,0,0,0,0,0,0,0,2.5975
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.59188,2.5725,2.6185,-0.0075058,2.598,0,0,0,0,0,0,0,2.5785
0,0,2.55663,2.515,2.577,-0.0052448,2.574,0,0,0,0,0,0,0,2.5605
0,0,2.56713,2.5475,2.5855,0.0021442,2.565,0,0,0,0,0,0,0,2.5705
0,0,2.56,2.5385,2.582,-0.0048714,2.566,0,0,0,0,0,0,0,2.5535
0,0,2.553,2.53,2.566,0.0035246,2.5535,0,0,0,0,0,0,0,2.5625
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.569,2.5525,2.5895,0.0078217,2.557,0,0,0,0,0,0,0,2.577
0,0,2.57613,2.5615,2.6015,-0.0017489,2.573,0,0,0,0,0,0,0,2.5685
0,0,2.56875,2.5605,2.5795,0.0003895598,2.567,0,0,0,0,0,0,0,2.568
0,0,2.5875,2.5475,2.62,0.0173219,2.569,0,0,0,0,0,0,0,2.6135
0,0,2.62088,2.606,2.6385,0.0065109,2.611,0,0,0,0,0,0,0,2.628
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.6225,2.594,2.6345,0.0024738,2.6275,0,0,0,0,0,0,0,2.634
0,0,2.62338,2.606,2.6415,-0.0068389,2.632,0,0,0,0,0,0,0,2.614
0,0,2.597,2.573,2.613,-0.0088038,2.6125,0,0,0,0,0,0,0,2.5895
0,0,2.59475,2.577,2.6175,0.0040588,2.587,0,0,0,0,0,0,0,2.5975
0,0,2.61675,2.585,2.646,0.0138462,2.6,0,0,0,0,0,0,0,2.636
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.64413,2.6305,2.66,0.002652,2.6395,0,0,0,0,0,0,0,2.6465
0,0,2.6395,2.6295,2.6505,-0.0045369,2.645,0,0,0,0,0,0,0,2.633
0,0,2.649,2.6145,2.6745,0.0136596,2.6355,0,0,0,0,0,0,0,2.6715
0,0,2.66888,2.659,2.6795,-0.0003746722,2.669,0,0,0,0,0,0,0,2.668
0,0,2.67288,2.659,2.6905,0.0033752,2.6665,0,0,0,0,0,0,0,2.6755
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.68263,2.6735,2.689,-0.000744879,2.685,0,0,0,0,0,0,0,2.683
0,0,2.68575,2.6725,2.697,0.0035421,2.682,0,0,0,0,0,0,0,2.6915
0,0,2.6835,2.6605,2.6955,-0.0022288,2.692,0,0,0,0,0,0,0,2.686
0,0,2.65863,2.628,2.6875,-0.0160388,2.681,0,0,0,0,0,0,0,2.638
0,0,2.64638,2.6315,2.664,0.0060675,2.637,0,0,0,0,0,0,0,2.653
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.666,2.6535,2.677,0.0031925,2.6625,0,0,0,0,0,0,0,2.671
0,0,2.68613,2.663,2.7155,0.0131307,2.6655,0,0,0,0,0,0,0,2.7005
0,0,2.68163,2.6605,2.7015,-0.0127801,2.6995,0,0,0,0,0,0,0,2.665
0,0,2.69838,2.6655,2.73,0.0213443,2.6705,0,0,0,0,0,0,0,2.7275
0,0,2.698,2.6765,2.7215,-0.0110619,2.712,0,0,0,0,0,0,0,2.682
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.67325,2.656,2.69,-0.0070816,2.683,0,0,0,0,0,0,0,2.664
0,0,2.6585,2.642,2.6835,-0.0065715,2.663,0,0,0,0,0,0,0,2.6455
0,0,2.64263,2.633,2.6515,-0.002645,2.6465,0,0,0,0,0,0,0,2.6395
0,0,2.6325,2.613,2.658,-0.0060664,2.6375,0,0,0,0,0,0,0,2.6215
0,0,2.63213,2.6225,2.643,0.0049524,2.625,0,0,0,0,0,0,0,2.638
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.62988,2.614,2.6485,-0.0064467,2.637,0,0,0,0,0,0,0,2.62
0,0,2.63875,2.6165,2.6625,0.0141248,2.6195,0,0,0,0,0,0,0,2.6565
0,0,2.65263,2.641,2.666,-0.0016956,2.654,0,0,0,0,0,0,0,2.6495
0,0,2.63588,2.621,2.651,-0.0092523,2.648,0,0,0,0,0,0,0,2.6235
0,0,2.63538,2.6155,2.6525,0.0085698,2.6255,0,0,0,0,0,0,0,2.648
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.64988,2.6365,2.67,0.0007560008,2.6455,0,0,0,0,0,0,0,2.6475
0,0,2.65925,2.6355,2.679,0.0122873,2.645,0,0,0,0,0,0,0,2.6775
0,0,2.69663,2.6845,2.71,0.0,2.696,0,0,0,0,0,0,0,2.696
0,0,2.67863,2.6535,2.7005,-0.013894,2.699,0,0,0,0,0,0,0,2.6615
0,0,2.65217,2.6345,2.68,-0.013627,2.6785,0,0,0,0,0,0,0,2.642
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.65963,2.647,2.679,-0.0043201,2.662,0,0,0,0,0,0,0,2.6505
0,0,2.63737,2.6205,2.655,-0.0105621,2.651,0,0,0,0,0,0,0,2.623
0,0,2.64313,2.6205,2.6665,0.0123739,2.6265,0,0,0,0,0,0,0,2.659
0,0,2.66375,2.6535,2.6765,0.0003756574,2.662,0,0,0,0,0,0,0,2.663
0,0,2.70225,2.6645,2.7535,0.0221305,2.666,0,0,0,0,0,0,0,2.725
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.7465,2.72,2.762,0.004735,2.7455,0,0,0,0,0,0,0,2.7585
0,0,2.75937,2.7485,2.77,0.0043581,2.7535,0,0,0,0,0,0,0,2.7655
0,0,2.77775,2.7575,2.798,0.008496,2.766,0,0,0,0,0,0,0,2.7895
0,0,2.79225,2.7635,2.8145,0.0007156915,2.7945,0,0,0,0,0,0,0,2.7965
0,0,2.79775,2.7655,2.831,-0.0115514,2.8135,0,0,0,0,0,0,0,2.781
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.7995,2.7815,2.8185,0.0089718,2.7865,0,0,0,0,0,0,0,2.8115
0,0,2.81262,2.801,2.8265,0.0014237,2.8095,0,0,0,0,0,0,0,2.8135
