f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.39,2.357,2.418,-0.0012558,2.389,0,0,0,0,0,0,0,2.386
0,0,2.35,2.318,2.404,-0.019,2.373,0,0,0,0,0,0,0,2.328
0,0,2.3,2.268,2.358,-0.024,2.332,0,0,0,0,0,0,0,2.276
0,0,2.22,2.159,2.303,-0.0417,2.28,0,0,0,0,0,0,0,2.185
0,0,2.2,2.181,2.222,-0.0122,2.213,0,0,0,0,0,0,0,2.186
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.27,2.195,2.316,0.0482,2.197,0,0,0,0,0,0,0,2.303
0,0,2.29,2.255,2.315,0.0021711,2.303,0,0,0,0,0,0,0,2.308
0,0,2.29,2.265,2.324,0.000873744,2.289,0,0,0,0,0,0,0,2.291
0,0,2.31,2.265,2.339,0.0233,2.271,0,0,0,0,0,0,0,2.324
0,0,2.32,2.3,2.364,-0.0051724,2.32,0,0,0,0,0,0,0,2.308
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.27,2.217,2.331,-0.027,2.33,0,0,0,0,0,0,0,2.267
0,0,2.26,2.232,2.297,-0.0115,2.266,0,0,0,0,0,0,0,2.24
0,0,2.27,2.237,2.296,0.0223,2.24,0,0,0,0,0,0,0,2.29
0,0,2.3525,2.26,2.44,0.0568,2.29,0,0,0,0,0,0,0,2.42
0,0,2.38,2.263,2.445,0.0573,2.287,0,0,0,0,0,0,0,2.418
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.41,2.369,2.467,-0.0232,2.46,0,0,0,0,0,0,0,2.403
0,0,2.41,2.36,2.437,0.0117,2.397,0,0,0,0,0,0,0,2.425
0,0,2.45,2.416,2.489,0.0061754,2.429,0,0,0,0,0,0,0,2.444
0,0,2.43,2.393,2.487,-0.0119,2.445,0,0,0,0,0,0,0,2.416
0,0,2.44,2.397,2.481,0.0178,2.41,0,0,0,0,0,0,0,2.453
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.42,2.383,2.469,-0.0219,2.462,0,0,0,0,0,0,0,2.408
0,0,2.34,2.298,2.408,-0.0372,2.395,0,0,0,0,0,0,0,2.306
0,0,2.31,2.29,2.346,-0.0060397,2.318,0,0,0,0,0,0,0,2.304
0,0,2.3,2.266,2.355,-0.0095279,2.309,0,0,0,0,0,0,0,2.287
0,0,2.26,2.242,2.3,-0.017,2.29,0,0,0,0,0,0,0,2.251
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.29,2.233,2.322,0.0312,2.242,0,0,0,0,0,0,0,2.312
0,0,2.31,2.289,2.328,-0.0081932,2.319,0,0,0,0,0,0,0,2.3
0,0,2.24,2.212,2.297,-0.0306,2.29,0,0,0,0,0,0,0,2.22
0,0,2.24,2.222,2.261,0.005827,2.231,0,0,0,0,0,0,0,2.244
0,0,2.19,2.165,2.242,-0.0317,2.24,0,0,0,0,0,0,0,2.169
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.15,2.12,2.182,-0.0156,2.175,0,0,0,0,0,0,0,2.141
0,0,2.13,2.107,2.142,0.0099244,2.116,0,0,0,0,0,0,0,2.137
0,0,2.21,2.127,2.268,0.0444,2.138,0,0,0,0,0,0,0,2.233
0,0,2.23,2.165,2.333,-0.0161,2.238,0,0,0,0,0,0,0,2.202
0,0,2.13,2.077,2.202,-0.0221,2.169,0,0,0,0,0,0,0,2.121
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.07,2.029,2.109,-0.0038499,2.078,0,0,0,0,0,0,0,2.07
0,0,2.11,2.073,2.133,0.0095648,2.091,0,0,0,0,0,0,0,2.111
0,0,2.1,2.074,2.145,-0.0095102,2.103,0,0,0,0,0,0,0,2.083
0,0,2.12,2.086,2.155,0.0192,2.088,0,0,0,0,0,0,0,2.128
0,0,2.11,2.064,2.145,-0.002354,2.124,0,0,0,0,0,0,0,2.119
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.12,2.095,2.157,-0.0089454,2.124,0,0,0,0,0,0,0,2.105
0,0,2.14,2.086,2.175,0.0195,2.106,0,0,0,0,0,0,0,2.147
0,0,2.16,2.122,2.203,-0.0074108,2.159,0,0,0,0,0,0,0,2.143
0,0,2.21,2.138,2.267,0.0338,2.159,0,0,0,0,0,0,0,2.232
0,0,2.2,2.17,2.224,-0.009009,2.22,0,0,0,0,0,0,0,2.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.19,2.134,2.221,0.0213,2.164,0,0,0,0,0,0,0,2.21
0,0,2.21,2.187,2.231,0.0072661,2.202,0,0,0,0,0,0,0,2.218
0,0,2.19,2.157,2.238,-0.0199,2.214,0,0,0,0,0,0,0,2.17
0,0,2.17,2.145,2.195,-0.0046104,2.169,0,0,0,0,0,0,0,2.159
0,0,2.15,2.12,2.167,0.0009302326,2.15,0,0,0,0,0,0,0,2.152
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.21,2.159,2.237,0.0281,2.169,0,0,0,0,0,0,0,2.23
0,0,2.2,2.175,2.233,-0.013,2.231,0,0,0,0,0,0,0,2.202
0,0,2.24,2.195,2.277,0.0227,2.201,0,0,0,0,0,0,0,2.251
0,0,2.27,2.218,2.31,0.0273,2.235,0,0,0,0,0,0,0,2.296
0,0,2.28,2.257,2.299,-0.0013112,2.288,0,0,0,0,0,0,0,2.285
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.3225,2.27,2.37,0.0306,2.29,0,0,0,0,0,0,0,2.36
0,0,2.33,2.269,2.365,0.0306,2.288,0,0,0,0,0,0,0,2.358
0,0,2.41,2.339,2.457,0.0422,2.346,0,0,0,0,0,0,0,2.445
0,0,2.43,2.388,2.468,-0.0028665,2.442,0,0,0,0,0,0,0,2.435
0,0,2.47,2.403,2.505,0.0251,2.435,0,0,0,0,0,0,0,2.496
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.56,2.496,2.608,0.023,2.527,0,0,0,0,0,0,0,2.585
0,0,2.6,2.571,2.648,-0.009977,2.606,0,0,0,0,0,0,0,2.58
0,0,2.56,2.529,2.6,-0.0112,2.581,0,0,0,0,0,0,0,2.552
0,0,2.56,2.512,2.585,0.0106,2.547,0,0,0,0,0,0,0,2.574
0,0,2.6,2.553,2.639,0.0159,2.573,0,0,0,0,0,0,0,2.614
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.67,2.641,2.7,-0.0026042,2.688,0,0,0,0,0,0,0,2.681
0,0,2.67,2.628,2.71,-0.0067014,2.686,0,0,0,0,0,0,0,2.668
0,0,2.65,2.603,2.696,-0.0097634,2.663,0,0,0,0,0,0,0,2.637
0,0,2.57,2.53,2.639,-0.0383,2.639,0,0,0,0,0,0,0,2.538
0,0,2.54,2.506,2.579,-0.0070533,2.552,0,0,0,0,0,0,0,2.534
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.52,2.493,2.547,0.0019826,2.522,0,0,0,0,0,0,0,2.527
0,0,2.53,2.494,2.59,-0.0126,2.535,0,0,0,0,0,0,0,2.503
0,0,2.49,2.455,2.519,0.0020024,2.497,0,0,0,0,0,0,0,2.502
0,0,2.45,2.39,2.54,-0.0342,2.514,0,0,0,0,0,0,0,2.428
0,0,2.41,2.38,2.451,-0.0184,2.449,0,0,0,0,0,0,0,2.404
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.35,2.324,2.392,-0.021,2.38,0,0,0,0,0,0,0,2.33
0,0,2.3,2.268,2.334,-0.0181,2.325,0,0,0,0,0,0,0,2.283
0,0,2.27,2.245,2.304,-0.0175,2.287,0,0,0,0,0,0,0,2.247
0,0,2.3,2.207,2.349,0.0333,2.254,0,0,0,0,0,0,0,2.329
0,0,2.34,2.263,2.398,0.0068493,2.336,0,0,0,0,0,0,0,2.352
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.31,2.287,2.342,-0.0129,2.333,0,0,0,0,0,0,0,2.303
0,0,2.29,2.266,2.323,-0.0021805,2.293,0,0,0,0,0,0,0,2.288
0,0,2.26,2.229,2.306,-0.0236,2.288,0,0,0,0,0,0,0,2.234
0,0,2.23,2.202,2.274,-0.0093792,2.239,0,0,0,0,0,0,0,2.218
0,0,2.22,2.187,2.262,0.0049932,2.203,0,0,0,0,0,0,0,2.214
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.27,2.228,2.313,0.0188,2.238,0,0,0,0,0,0,0,2.28
0,0,2.32,2.266,2.349,0.0236,2.285,0,0,0,0,0,0,0,2.339
0,0,2.32,2.277,2.384,-0.0167,2.342,0,0,0,0,0,0,0,2.303
0,0,2.32,2.284,2.365,0.0113,2.292,0,0,0,0,0,0,0,2.318
0,0,2.32,2.289,2.36,0.0004312204,2.319,0,0,0,0,0,0,0,2.32
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.26,2.213,2.322,-0.0353,2.32,0,0,0,0,0,0,0,2.238
0,0,2.27,2.231,2.311,0.0161,2.236,0,0,0,0,0,0,0,2.272
0,0,2.28,2.251,2.305,0.003518,2.274,0,0,0,0,0,0,0,2.282
0,0,2.31,2.269,2.342,0.0136,2.285,0,0,0,0,0,0,0,2.316
0,0,2.3,2.273,2.336,-0.0133,2.331,0,0,0,0,0,0,0,2.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.42,2.346,2.47,0.0338,2.366,0,0,0,0,0,0,0,2.446
0,0,2.56,2.449,2.64,0.0561,2.459,0,0,0,0,0,0,0,2.597
0,0,2.68,2.616,2.723,0.024,2.628,0,0,0,0,0,0,0,2.691
0,0,2.66,2.606,2.738,-0.0197,2.686,0,0,0,0,0,0,0,2.633
0,0,2.67,2.575,2.718,0.0292,2.637,0,0,0,0,0,0,0,2.714
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.81,2.781,2.842,0.0089413,2.796,0,0,0,0,0,0,0,2.821
0,0,2.86,2.817,2.905,0.0142,2.822,0,0,0,0,0,0,0,2.862
0,0,2.85,2.82,2.891,-0.0157,2.873,0,0,0,0,0,0,0,2.828
0,0,2.8,2.753,2.882,-0.0181,2.823,0,0,0,0,0,0,0,2.772
0,0,2.79,2.755,2.822,-0.0010745,2.792,0,0,0,0,0,0,0,2.789
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.66,2.618,2.716,-0.0291,2.716,0,0,0,0,0,0,0,2.637
0,0,2.64,2.607,2.685,-0.0060675,2.637,0,0,0,0,0,0,0,2.621
0,0,2.62,2.57,2.68,-0.0083905,2.622,0,0,0,0,0,0,0,2.6
0,0,2.66,2.625,2.696,-0.0101,2.674,0,0,0,0,0,0,0,2.647
0,0,2.67,2.606,2.724,0.0197,2.636,0,0,0,0,0,0,0,2.688
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.58,2.533,2.65,-0.0284,2.641,0,0,0,0,0,0,0,2.566
0,0,2.52,2.501,2.56,-0.0145,2.547,0,0,0,0,0,0,0,2.51
0,0,2.55,2.505,2.581,0.0179,2.514,0,0,0,0,0,0,0,2.559
0,0,2.56,2.526,2.595,0.0003897116,2.566,0,0,0,0,0,0,0,2.567
0,0,2.63,2.557,2.675,0.0309,2.585,0,0,0,0,0,0,0,2.665
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.58,2.51,2.709,-0.0588,2.689,0,0,0,0,0,0,0,2.531
0,0,2.47,2.421,2.532,-0.0198,2.52,0,0,0,0,0,0,0,2.47
0,0,2.52,2.488,2.558,-0.0111,2.529,0,0,0,0,0,0,0,2.501
0,0,2.39,2.27,2.51,-0.088,2.5,0,0,0,0,0,0,0,2.28
0,0,2.35,2.27,2.513,-0.0865,2.497,0,0,0,0,0,0,0,2.281
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.33,2.289,2.369,0.0060475,2.315,0,0,0,0,0,0,0,2.329
0,0,2.43,2.34,2.51,0.0409,2.345,0,0,0,0,0,0,0,2.441
0,0,2.41,2.368,2.463,-0.0164,2.439,0,0,0,0,0,0,0,2.399
0,0,2.43,2.396,2.463,0.0087282,2.406,0,0,0,0,0,0,0,2.427
0,0,2.37,2.328,2.437,-0.0343,2.417,0,0,0,0,0,0,0,2.334
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.22,2.158,2.258,0.0099548,2.21,0,0,0,0,0,0,0,2.232
0,0,2.26,2.216,2.289,0.0048824,2.253,0,0,0,0,0,0,0,2.264
0,0,2.26,2.24,2.303,-0.009713,2.265,0,0,0,0,0,0,0,2.243
0,0,2.31,2.244,2.348,0.0356,2.248,0,0,0,0,0,0,0,2.328
0,0,2.3,2.253,2.342,-0.0192,2.341,0,0,0,0,0,0,0,2.296
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.33,2.285,2.377,0.0196,2.296,0,0,0,0,0,0,0,2.341
0,0,2.32,2.282,2.362,-0.0128,2.349,0,0,0,0,0,0,0,2.319
0,0,2.29,2.257,2.327,-0.0138,2.318,0,0,0,0,0,0,0,2.286
0,0,2.27,2.232,2.302,-0.0039439,2.282,0,0,0,0,0,0,0,2.273
0,0,2.32,2.279,2.345,0.017,2.289,0,0,0,0,0,0,0,2.328
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,2.23,2.192,2.269,-0.0177,2.254,0,0,0,0,0,0,0,2.214
0,0,2.19,2.162,2.223,-0.0136,2.202,0,0,0,0,0,0,0,2.172
0,0,2.2375,2.18,2.3,0.0505,2.18,0,0,0,0,0,0,0,2.29
0,0,2.26,2.184,2.297,0.0504,2.184,0,0,0,0,0,0,0,2.294
0,0,2.19,2.138,2.286,-0.0502,2.272,0,0,0,0,0,0,0,2.158
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
