f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,16.85,16.27,17.1269,0.0402,16.43,177.58019397733534,0.3186549858389161,99.12017762375736,-2.547462892647517,16.79380366915927,16.903691436130377,16.59436363636364,17.09
0.0,0.0,18.24,17.47,18.75,0.015,18.0,167.75510173057432,0.5981839182057636,99.4539445410059,-15.627034770152376,17.326514578430114,17.587965555328278,16.924,18.27
0.0,0.0,17.72,17.11,18.5,-0.0021858,18.3,158.1447183754043,0.7331684663158937,99.0999494815728,-16.666666666666615,17.711006523365803,18.024737954761434,17.210545454545457,18.26
0.0,0.0,18.71,18.31,19.28,0.0235,18.32,149.76026967173058,0.8763195764103412,99.24605550849628,-16.66719079216331,18.14852570887264,18.51457402385585,17.54836363636364,18.75
0.0,0.0,18.55,18.0,18.84,-0.0021552,18.56,141.52354246677095,0.918348517720805,91.49949054536278,-23.900122645366256,18.385260842678942,18.709252947178136,17.797818181818183,18.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,18.68,18.47,18.9453,-0.0010695,18.7,134.15853802699982,0.9560774027242772,91.98316010972174,-18.86851787792073,18.601083177121883,18.880516139508146,18.036727272727276,18.68
0.0,0.0,18.36,18.01,18.8,-0.0256,18.78,126.40943845796956,0.9063889893417726,79.97493537383195,-30.818579200603807,18.62254827118296,18.79253010019301,18.16872727272727,18.3
0.0,0.0,18.47,18.3,18.84,-0.0054113,18.48,119.46301704676875,0.7787611957461671,80.56833116642073,-29.90033222591368,18.652700994606228,18.742195037504228,18.28272727272727,18.38
0.0,0.0,18.49,18.08,18.695,0.0192,18.25,112.6197853246637,0.7112165633616808,82.1816772594413,-22.591362126245823,18.73659823939019,18.78498459459943,18.39890909090909,18.6
0.0,0.0,18.74,18.42,18.845,-0.0021277,18.8,106.59680089163211,0.461810567224268,83.30198438099215,-17.275747508305624,18.8411377755054,18.865974288766523,18.513272727272724,18.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,19.61,18.74,20.0,0.0377,19.11,102.08977058394969,0.4386855365748904,88.61903378326868,-5.882352941176528,19.26215555503689,19.385720783152927,18.78036363636364,19.83
0.0,0.0,20.07,19.48,20.47,0.0221,19.89,98.3406157653882,0.6511443772313472,90.23368995584218,-4.166666666666685,19.728054876705517,19.938598267581277,19.088545454545457,20.33
0.0,0.0,20.31,20.0,20.67,-0.0127,20.48,95.09515474845207,0.7361935886708053,87.20925889082643,-16.85393258426976,20.02347326966697,20.231468176807688,19.33927272727273,20.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,19.86,19.31,20.3,0.0054726,20.1,90.1441665528964,0.8062387983717969,86.91499667831526,-17.228464419475674,20.224423656040607,20.39197882442108,19.552545454545456,20.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,19.89,19.6731,20.215,-0.0139,20.1,85.68827717689629,0.7935622218830728,75.82778436303052,-31.954887218045165,20.229541727710878,20.292170187711097,19.66836363636364,19.82
0.0,0.0,19.81,19.51,20.17,0.0045501,19.78,81.17598104714867,0.7788042115962132,76.25919024481621,-30.07518796992484,20.23595823097077,20.220661838067173,19.76963636363636,19.87
0.0,0.0,19.69,19.3,20.25,-0.0069895,20.03,76.45411196106798,0.6885412115480085,76.44602227968177,-30.11583011583012,20.2347673536168,20.15956714967444,19.85290909090909,19.89
0.0,0.0,19.77,19.55,20.05,-0.017,19.98,72.20442978359536,0.5583914397624655,68.91370009353835,-39.76833976833976,20.13992825873961,19.98750477210684,19.861818181818183,19.64
0.0,0.0,19.9,19.58,20.08,0.0091232,19.73,68.43402202898768,0.4166485329387342,72.20062832523521,-33.77777777777784,20.149170575103163,19.98097489056669,19.89690909090909,19.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,19.73,19.5,20.25,-0.01,19.92,65.36307830627041,0.2182750558355211,66.6873258584721,-49.2227979274612,20.084641197624112,19.880728147071704,19.87363636363637,19.72
0.0,0.0,20.18,19.678,20.43,0.0254,19.72,62.940135676636615,0.2289999999999995,72.76768575506297,-32.84671532846733,20.194678847489403,20.03244474294845,19.92381818181818,20.22
0.0,0.0,20.73,20.35,21.42,-0.0112,20.62,62.23511518620264,0.2385979882563974,74.52432241054295,-48.58490566037739,20.32537582475495,20.20438868017508,19.997818181818182,20.39
0.0,0.0,20.11,19.63,20.43,-0.0167,20.32,58.97472185370479,0.2258871399615303,63.54078156818285,-67.92452830188682,20.2794663359904,20.12602842933588,19.996181818181817,19.98
0.0,0.0,20.03,19.71,20.4596,-0.0159,20.09,56.09409875249965,0.2165386801474507,58.62366788629558,-77.83018867924535,20.16941233653676,19.97125180626729,19.96072727272728,19.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
