f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,56.49,55.69,57.15,0.0026577,56.44,176.0597830892454,0.9761275531404704,80.6480396130155,-33.46752833986645,56.79595176501235,56.98246030555539,56.464,56.59
0.0,0.0,59.48,57.7125,60.96,0.0063585,58.19,166.6341260825742,1.0659287030566362,85.43567111699159,-36.1990950226244,57.47963084793313,57.82865949966229,56.89763636363637,58.56
0.0,0.0,58.63,57.38,59.53,0.00271,59.04,157.9059926714462,1.2120643547270922,86.62968310929581,-27.543035993740183,58.18458524731207,58.65477500830648,57.37654545454546,59.2
0.0,0.0,59.72,58.89,60.67,-0.0053333,60.0,150.1515108656865,1.4059377653367169,87.48470651544356,-20.03129890453836,58.84874198582815,59.38458052012755,57.86927272727274,59.68
0.0,0.0,59.09,58.15,59.73,-0.0021838,59.53,142.55877631310742,1.484575696958562,84.00289820471521,-24.413145539906136,59.22826039803054,59.69789912645175,58.24436363636364,59.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,60.7,60.01,61.66,0.0086638,60.02,135.95666450091704,1.684637646498498,86.44363182828096,-15.796897038081775,59.864855024446015,60.37185852507322,58.77072727272728,60.54
0.0,0.0,59.67,58.84,60.94,-0.0179,60.3,129.0083281129534,1.6823959105989283,72.25955899092696,-34.41466854724963,59.87696035206476,60.17233406129342,58.98963636363637,59.22
0.0,0.0,59.91,59.49,61.89,-0.0212,60.91,122.91882882973212,1.273882255155474,73.7119066427605,-33.33333333333337,59.99557762585698,60.16896018325187,59.24090909090909,59.62
0.0,0.0,60.8,59.57,61.645,0.0228,59.7,117.43827947483295,1.4141866920601385,78.26387591582194,-13.387096774193516,60.53859984630114,60.77525833029676,59.66672727272727,61.06
0.0,0.0,62.07,60.72,62.7,0.0287,60.72,112.70619701971732,1.472304655973076,81.68899349289589,-3.4236804564907533,61.3821568749852,61.77175802098431,60.28927272727272,62.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,62.66,61.97,64.21,-0.0146,63.22,108.71886662765432,1.2755171500219034,80.08647881255315,-27.96486090775987,61.929590691708086,62.31570241266952,60.77418181818181,62.3
0.0,0.0,62.46,61.36,63.25,0.0059228,62.47,104.45294471113314,1.366870879051859,81.45102914099161,-20.05856515373341,62.486811984168575,62.86693757692454,61.25345454545455,62.84
0.0,0.0,62.75,62.28,63.32,-0.0063796,62.7,100.63049014128508,1.358453532514087,75.68830577278267,-31.51815181518149,62.69299113088451,62.93255004661495,61.55672727272727,62.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,62.67,62.025,63.2,0.0181,62.03,96.8623496460909,1.4329162571483378,78.36539487217331,-17.491749174917427,63.09901217518576,63.30428543802236,61.95818181818181,63.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,62.39,61.23,63.1,-0.0080901,63.04,92.4286926879719,1.3238036108124205,71.94477289284512,-31.284916201117237,63.16753825690195,63.21957306160426,62.183818181818175,62.53
0.0,0.0,62.3,61.665,62.98,0.0066279,61.86,88.43840142566481,1.286221209590326,69.29919757710299,-36.1266294227187,63.106385030384615,62.99688895598021,62.30527272727273,62.27
0.0,0.0,62.63,62.05,63.42,-0.0079631,62.79,85.04594697390334,0.9663519027766236,69.39538580664993,-40.67796610169487,63.04441022485205,62.817657032184414,62.39890909090909,62.29
0.0,0.0,61.27,59.8445,62.72,-0.0247,62.3,79.07053734044305,0.6996170381001311,54.80116477446437,-74.35344827586208,62.47219865338471,61.97536446785946,62.158545454545454,60.76
0.0,0.0,62.13,61.275,62.54,0.0104,61.48,73.6926686703288,0.5914017247184868,62.57472982530656,-47.87538655365932,62.48213310047238,62.00979002132035,62.14472727272727,62.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,61.51,60.22,62.3999,-0.0064278,62.23,67.59382598884375,0.6046230230482469,60.12474810530733,-54.51838277402352,62.380944322060905,61.89431010783456,62.05890909090909,61.83
0.0,0.0,61.34,60.65,61.705,-0.0040552,61.65,62.10486757550719,0.6538264295667475,56.48142684194494,-56.49559502167529,62.15284458371731,61.61780848412897,61.90636363636363,61.4
0.0,0.0,62.07,61.05,62.5,0.014,61.5,57.91097576517999,0.6179716821991122,62.16814953647182,-29.646203328205868,62.29261766519913,61.867112190045184,61.94472727272726,62.36
0.0,0.0,62.58,61.9,63.0,0.0103,62.0,54.58645774409728,0.6370439545274728,63.70515916569166,-21.81513075094392,62.4809742680027,62.16174719414897,62.04272727272727,62.64
0.0,0.0,63.36,62.79,63.83,0.005873,63.0,52.30382734515062,0.674419009222012,67.5269302376079,-11.54183916698032,62.8536435882926,62.68634078454089,62.267272727272726,63.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
