f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,14.8285,14.755,14.89,-0.0007412399,14.84,0,0,0,0,0,0,0,14.829
0,0,14.92575,14.8,15.08,0.0109912,14.83,0,0,0,0,0,0,0,14.993
0,0,15.007,14.905,15.17,-0.0024675,14.995,0,0,0,0,0,0,0,14.958
0,0,15.3255,15.12,15.52,0.0212261,15.17,0,0,0,0,0,0,0,15.492
0,0,15.36625,15.155,15.555,-0.0113159,15.465,0,0,0,0,0,0,0,15.29
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,15.368,15.285,15.455,0.0014328,15.355,0,0,0,0,0,0,0,15.377
0,0,15.375,15.255,15.505,-0.0090674,15.44,0,0,0,0,0,0,0,15.3
0,0,15.2885,15.16,15.355,-0.0033236,15.345,0,0,0,0,0,0,0,15.294
0,0,15.2985,15.205,15.355,-0.0029987,15.34,0,0,0,0,0,0,0,15.294
0,0,15.31775,15.245,15.385,0.0026797,15.3,0,0,0,0,0,0,0,15.341
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,15.252,15.155,15.345,-0.007966,15.315,0,0,0,0,0,0,0,15.193
0,0,15.20825,15.07,15.365,0.0051451,15.16,0,0,0,0,0,0,0,15.238
0,0,15.364,15.24,15.51,-0.0022121,15.37,0,0,0,0,0,0,0,15.336
0,0,15.16275,14.915,15.37,-0.0236902,15.365,0,0,0,0,0,0,0,15.001
0,0,15.01767,14.885,15.25,-0.0214497,15.245,0,0,0,0,0,0,0,14.918
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,15.05875,14.985,15.15,0.0,15.05,0,0,0,0,0,0,0,15.05
0,0,15.0755,14.965,15.155,0.0074493,15.035,0,0,0,0,0,0,0,15.147
0,0,15.1865,15.07,15.315,0.0060126,15.135,0,0,0,0,0,0,0,15.226
0,0,15.219,15.12,15.345,-0.0077956,15.265,0,0,0,0,0,0,0,15.146
0,0,15.17775,15.07,15.27,0.0066733,15.135,0,0,0,0,0,0,0,15.236
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,15.305,15.185,15.43,0.0082021,15.24,0,0,0,0,0,0,0,15.365
0,0,15.542,15.34,15.735,0.0170613,15.415,0,0,0,0,0,0,0,15.678
0,0,15.78525,15.555,16.03,0.0247674,15.585,0,0,0,0,0,0,0,15.971
0,0,16.137,15.96,16.385,0.0120587,16.005,0,0,0,0,0,0,0,16.198
0,0,16.32125,16.08,16.625,-0.011596,16.385,0,0,0,0,0,0,0,16.195
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.329,16.195,16.455,0.009597,16.255,0,0,0,0,0,0,0,16.411
0,0,16.409,16.205,16.575,0.0058608,16.38,0,0,0,0,0,0,0,16.476
0,0,16.52275,16.35,16.68,0.0116215,16.435,0,0,0,0,0,0,0,16.626
0,0,16.51525,16.345,16.685,-0.0125752,16.62,0,0,0,0,0,0,0,16.411
0,0,16.43925,16.355,16.55,-0.0035248,16.455,0,0,0,0,0,0,0,16.397
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.43,16.36,16.5,0.001218,16.42,0,0,0,0,0,0,0,16.44
0,0,16.53075,16.425,16.64,0.0035152,16.5,0,0,0,0,0,0,0,16.558
0,0,16.45125,16.215,16.6,-0.0108532,16.585,0,0,0,0,0,0,0,16.405
0,0,16.2,15.935,16.405,-0.0061425,16.28,0,0,0,0,0,0,0,16.18
0,0,16.26,16.03,16.385,-0.0051972,16.355,0,0,0,0,0,0,0,16.27
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.3445,16.135,16.59,0.0081796,16.26,0,0,0,0,0,0,0,16.393
0,0,16.445,16.365,16.53,0.0003041363,16.44,0,0,0,0,0,0,0,16.445
0,0,16.839,16.45,17.26,0.0453495,16.45,0,0,0,0,0,0,0,17.196
0,0,17.01775,16.81,17.225,-0.0095906,17.1,0,0,0,0,0,0,0,16.936
0,0,16.96775,16.86,17.14,-0.0005312869,16.94,0,0,0,0,0,0,0,16.931
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.9965,16.8,17.15,0.0062482,16.965,0,0,0,0,0,0,0,17.071
0,0,17.01125,16.51,17.49,-0.0043962,17.06,0,0,0,0,0,0,0,16.985
0,0,17.0975,16.855,17.305,0.019469,16.95,0,0,0,0,0,0,0,17.28
0,0,17.21225,17.075,17.37,0.0013962,17.19,0,0,0,0,0,0,0,17.214
0,0,17.17925,17.03,17.315,-0.0074203,17.25,0,0,0,0,0,0,0,17.122
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.015,16.82,17.175,-0.0108029,17.125,0,0,0,0,0,0,0,16.94
0,0,17.0045,16.83,17.17,0.016479,16.87,0,0,0,0,0,0,0,17.148
0,0,17.10775,16.975,17.18,0.0015182,17.125,0,0,0,0,0,0,0,17.151
0,0,17.05,16.915,17.13,-0.0043821,17.115,0,0,0,0,0,0,0,17.04
0,0,17.217,16.96,17.465,0.0224897,17.03,0,0,0,0,0,0,0,17.413
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.59775,17.495,17.755,0.0080571,17.5,0,0,0,0,0,0,0,17.641
0,0,17.897,17.61,18.185,0.0290816,17.64,0,0,0,0,0,0,0,18.153
0,0,18.24075,18.025,18.475,0.0095343,18.145,0,0,0,0,0,0,0,18.318
0,0,18.42075,18.15,18.76,-0.0068835,18.45,0,0,0,0,0,0,0,18.323
0,0,18.36175,18.165,18.575,-0.0012524,18.365,0,0,0,0,0,0,0,18.342
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,18.87925,18.365,19.395,0.0387149,18.52,0,0,0,0,0,0,0,19.237
0,0,18.85133,18.25,19.225,0.0340921,18.45,0,0,0,0,0,0,0,19.079
0,0,19.48175,19.28,19.75,0.0101809,19.35,0,0,0,0,0,0,0,19.547
0,0,19.17425,18.57,19.675,-0.0426572,19.645,0,0,0,0,0,0,0,18.807
0,0,18.44225,18.045,18.89,-0.0318461,18.715,0,0,0,0,0,0,0,18.119
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,18.19925,18.015,18.4,-0.0026352,18.215,0,0,0,0,0,0,0,18.167
0,0,18.099,17.855,18.265,0.0053068,18.09,0,0,0,0,0,0,0,18.186
0,0,18.1425,17.97,18.335,0.0041448,18.095,0,0,0,0,0,0,0,18.17
0,0,18.25425,18.085,18.555,-0.0012637,18.2,0,0,0,0,0,0,0,18.177
0,0,17.86475,17.47,18.265,-0.0322776,18.155,0,0,0,0,0,0,0,17.569
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.8865,17.69,18.075,0.0152633,17.755,0,0,0,0,0,0,0,18.026
0,0,18.01375,17.82,18.17,0.0119944,17.925,0,0,0,0,0,0,0,18.14
0,0,17.9285,17.58,18.12,-0.0097264,18.095,0,0,0,0,0,0,0,17.919
0,0,17.84975,17.655,18.015,0.0021855,17.845,0,0,0,0,0,0,0,17.884
0,0,17.89725,17.81,18.06,-0.0011752,17.87,0,0,0,0,0,0,0,17.849
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,18.37775,17.99,18.78,0.0377704,18.03,0,0,0,0,0,0,0,18.711
0,0,18.602,18.315,18.81,-0.0014473,18.655,0,0,0,0,0,0,0,18.628
0,0,18.3445,17.875,18.75,-0.0324946,18.68,0,0,0,0,0,0,0,18.073
0,0,17.94925,17.785,18.11,-0.0043357,17.99,0,0,0,0,0,0,0,17.912
0,0,17.7105,17.345,17.96,-0.0130277,17.885,0,0,0,0,0,0,0,17.652
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.307,16.98,17.66,-0.0336555,17.59,0,0,0,0,0,0,0,16.998
0,0,17.1655,16.94,17.375,0.0150777,17.045,0,0,0,0,0,0,0,17.302
0,0,17.49075,17.24,17.73,0.0215482,17.31,0,0,0,0,0,0,0,17.683
0,0,17.6665,17.515,17.845,0.0026092,17.63,0,0,0,0,0,0,0,17.676
0,0,17.5825,17.33,17.745,-0.0002836075,17.63,0,0,0,0,0,0,0,17.625
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.585,17.435,17.7,-0.0070761,17.665,0,0,0,0,0,0,0,17.54
0,0,17.58875,17.305,17.86,0.0120069,17.49,0,0,0,0,0,0,0,17.7
0,0,17.82625,17.72,18.0,0.0019691,17.775,0,0,0,0,0,0,0,17.81
0,0,17.698,17.455,17.935,-0.0111236,17.8,0,0,0,0,0,0,0,17.602
0,0,17.55975,17.37,17.785,0.0002280502,17.54,0,0,0,0,0,0,0,17.544
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.6225,17.455,17.735,0.0068221,17.59,0,0,0,0,0,0,0,17.71
0,0,17.5535,17.37,17.765,-0.0175756,17.695,0,0,0,0,0,0,0,17.384
0,0,17.38175,17.18,17.49,-0.000172117,17.43,0,0,0,0,0,0,0,17.427
0,0,17.5055,17.33,17.665,0.0113121,17.415,0,0,0,0,0,0,0,17.612
0,0,17.547,17.42,17.62,0.0004553216,17.57,0,0,0,0,0,0,0,17.578
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.6605,17.53,17.895,-0.0007380074,17.615,0,0,0,0,0,0,0,17.602
0,0,17.55,17.44,17.68,-0.0045506,17.58,0,0,0,0,0,0,0,17.5
0,0,17.56875,17.515,17.63,0.0017094,17.55,0,0,0,0,0,0,0,17.58
0,0,17.681,17.485,17.86,0.0130299,17.575,0,0,0,0,0,0,0,17.804
0,0,17.97775,17.8,18.35,0.0051023,17.835,0,0,0,0,0,0,0,17.926
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.96775,17.785,18.145,-0.0104622,18.065,0,0,0,0,0,0,0,17.876
0,0,17.80275,17.605,17.905,-0.0021824,17.87,0,0,0,0,0,0,0,17.831
0,0,17.8105,17.59,17.965,0.0026375,17.82,0,0,0,0,0,0,0,17.867
0,0,17.9855,17.795,18.185,0.0096116,17.895,0,0,0,0,0,0,0,18.067
0,0,18.06675,17.935,18.16,-0.0037528,18.12,0,0,0,0,0,0,0,18.052
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,18.09525,17.96,18.23,-0.0032552,18.125,0,0,0,0,0,0,0,18.066
0,0,17.80825,17.52,18.085,-0.0272425,18.06,0,0,0,0,0,0,0,17.568
0,0,17.53575,17.36,17.63,0.0024494,17.555,0,0,0,0,0,0,0,17.598
0,0,17.2925,16.91,17.645,-0.0337972,17.605,0,0,0,0,0,0,0,17.01
0,0,16.912,16.66,17.095,-0.0144698,17.07,0,0,0,0,0,0,0,16.823
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.77425,16.63,16.91,0.0028051,16.755,0,0,0,0,0,0,0,16.802
0,0,16.74175,16.615,16.875,-0.0055407,16.785,0,0,0,0,0,0,0,16.692
0,0,16.83825,16.72,17.0,0.0115431,16.72,0,0,0,0,0,0,0,16.913
0,0,16.97075,16.845,17.08,0.0057885,16.93,0,0,0,0,0,0,0,17.028
0,0,16.9345,16.78,17.01,-0.0030588,17.0,0,0,0,0,0,0,0,16.948
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.92125,16.705,17.03,0.0029499,16.95,0,0,0,0,0,0,0,17.0
0,0,17.0545,16.935,17.16,0.0066451,17.005,0,0,0,0,0,0,0,17.118
0,0,17.10375,17.0,17.185,0.0,17.115,0,0,0,0,0,0,0,17.115
0,0,17.0975,17.01,17.17,-0.0046661,17.145,0,0,0,0,0,0,0,17.065
0,0,17.05875,16.95,17.21,-0.0043924,17.075,0,0,0,0,0,0,0,17.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.909,16.82,16.97,-0.0043632,16.96,0,0,0,0,0,0,0,16.886
0,0,16.9225,16.78,17.085,0.0157926,16.78,0,0,0,0,0,0,0,17.045
0,0,17.1175,17.025,17.2,-0.0078534,17.19,0,0,0,0,0,0,0,17.055
0,0,17.0565,16.935,17.125,0.0026964,17.06,0,0,0,0,0,0,0,17.106
0,0,16.918,16.8,16.985,0.0040828,16.9,0,0,0,0,0,0,0,16.969
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.00775,16.895,17.1,-0.0060926,17.07,0,0,0,0,0,0,0,16.966
0,0,17.1145,16.945,17.285,0.0157833,16.98,0,0,0,0,0,0,0,17.248
0,0,17.1115,16.865,17.415,-0.0193623,17.25,0,0,0,0,0,0,0,16.916
0,0,16.981,16.87,17.075,0.0082151,16.92,0,0,0,0,0,0,0,17.059
0,0,16.829,16.575,17.125,-0.0249119,17.02,0,0,0,0,0,0,0,16.596
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,16.63425,16.565,16.73,0.0025301,16.6,0,0,0,0,0,0,0,16.642
0,0,16.688,16.625,16.77,0.002822,16.655,0,0,0,0,0,0,0,16.702
0,0,16.8085,16.65,17.025,0.0083184,16.71,0,0,0,0,0,0,0,16.849
0,0,16.971,16.82,17.185,0.0011223,16.93,0,0,0,0,0,0,0,16.949
0,0,16.993,16.895,17.095,0.002475,16.97,0,0,0,0,0,0,0,17.012
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.05325,16.955,17.14,0.0063511,17.005,0,0,0,0,0,0,0,17.113
0,0,17.0905,17.015,17.17,-0.0019293,17.105,0,0,0,0,0,0,0,17.072
0,0,17.04225,16.935,17.125,-0.0006447831,17.06,0,0,0,0,0,0,0,17.049
0,0,17.08725,16.95,17.18,0.0052154,17.065,0,0,0,0,0,0,0,17.154
0,0,17.1835,17.08,17.315,0.0063687,17.115,0,0,0,0,0,0,0,17.224
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,17.36975,17.23,17.52,0.0156123,17.23,0,0,0,0,0,0,0,17.499
