f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,31.315,30.92,31.73,0.008018,31.18,156.76647009398752,0.5450587124338079,74.98626832618316,-77.92207792207796,31.708769702726173,31.78016931001704,31.786727272727276,31.43
0.0,0.0,31.6175,31.3,32.14,-0.0091598,31.66,147.80317511896513,0.5230535345449842,73.76289932833762,-80.51948051948051,31.60610076552098,31.621591214118787,31.70327272727273,31.37
0.0,0.0,31.345,31.07,31.66,-0.0035054,31.38,139.4621392780618,0.5407411580414431,71.59971628189874,-84.8484848484849,31.4965091376226,31.46799966145307,31.620545454545454,31.27
0.0,0.0,31.5825,31.24,31.93,-0.0031616,31.63,132.02977259206352,0.5218658831539008,73.81786748440724,-73.59307359307357,31.50160865489319,31.483444782592095,31.592727272727277,31.53
0.0,0.0,31.3175,31.03,31.56,-0.0050923,31.42,125.04709890055604,0.5329690422529256,67.7154212785738,-85.28138528138525,31.41670473984645,31.37335161890073,31.510181818181817,31.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,30.93,30.37,31.32,-0.0144,31.24,117.81468681357606,0.5936573085543554,58.380663082082094,-85.31468531468536,31.19931601192767,31.0894241835307,31.34509090909091,30.79
0.0,0.0,30.655,30.36,31.1,-0.0136,30.79,111.29050378745336,0.4869794656861834,51.35187119938335,-99.61538461538456,30.901417243257164,30.714884430340145,31.123090909090912,30.37
0.0,0.0,30.7475,30.25,31.34,0.0151,30.47,105.53988166121194,0.4748726144978257,58.71554359430552,-67.77251184834124,30.86955386114692,30.727926312188096,31.050545454545453,30.93
0.0,0.0,31.715,31.31,32.0,-0.0141,32.0,100.69891087198803,0.3527265229607777,65.19616401496658,-33.6734693877551,31.05518072564677,31.02927078092651,31.10618181818182,31.55
0.0,0.0,31.265,30.88,31.55,-0.013,31.52,95.5595463340197,0.3527732983092684,58.0150891288944,-54.49735449735454,31.05034645392694,31.03999350753273,31.09490909090909,31.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,31.1875,30.53,31.84,-0.0402,31.83,90.29066072093322,0.3831461862005155,50.1964174679017,-84.1269841269841,30.86395833967063,30.7984044126807,30.983818181818183,30.55
0.0,0.0,30.105,29.62,30.55,-0.0181,30.4,83.96683809649062,0.5142460500577518,42.28206013140564,-90.3361344537815,30.497402384187627,30.3260578286163,30.761454545454548,29.85
0.0,0.0,29.835,29.7,30.01,-0.0016756,29.84,78.27539773449227,0.5985657858581629,41.6565463336761,-92.85714285714292,30.210785508725856,29.99408805258099,30.555818181818186,29.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,29.9025,29.6,30.22,0.0152,29.67,73.37616651328477,0.5689780312103447,46.49386313297628,-78.33333333333334,30.114098657921662,29.937873710544643,30.437090909090912,30.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,29.6075,29.09,30.11,-0.0329,30.11,67.98140233479252,0.6834588502609353,36.34713304096342,-98.9690721649484,29.71899097571649,29.4658994777323,30.162181818181818,29.12
0.0,0.0,28.8425,28.61,29.03,-0.0051831,28.94,62.244407702689536,0.8235994171926059,33.654110307474696,-94.69026548672568,29.32560513967116,29.02114752501659,29.86618181818181,28.79
0.0,0.0,29.085,28.82,29.31,-0.0065068,29.2,57.489312345209854,0.8963459153697304,37.10591258082704,-88.20058997050141,29.11728552580045,28.84867738184665,29.646545454545453,29.01
0.0,0.0,29.2775,28.95,29.56,0.0172,29.05,53.579444370836846,0.8606880968155652,44.921199573172295,-72.27138643067843,29.1527976677283,29.00524597399732,29.549818181818186,29.55
0.0,0.0,29.9375,29.65,30.3,0.0162,29.66,51.078699196121946,0.6832430021595537,52.140845154919774,-52.6315789473684,29.384742236531967,29.40133771683717,29.585454545454542,30.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,30.315,29.93,30.58,0.0116,30.2,49.18400103499381,0.5904752323340922,56.53945929467667,-39.938080495356,29.700515303697,29.868545186910907,29.72127272727273,30.55
0.0,0.0,30.555,30.21,31.26,-0.009502,30.52,48.2832734591195,0.5536108741706579,52.36575369730415,-38.8679245283019,29.83419759481749,30.04364066384385,29.80909090909091,30.23
0.0,0.0,29.9875,29.58,30.32,-0.0136,30.23,45.948137282392736,0.5529520774895416,47.385961430231056,-54.33962264150944,29.80123457995377,29.9760089855292,29.828181818181815,29.82
0.0,0.0,29.8925,29.75,30.04,0.0073875,29.78,43.84651472333864,0.5594649229397676,49.71844558332338,-47.54716981132078,29.839292906203557,30.01150961872827,29.88054545454545,30.0
0.0,0.0,30.4675,30.03,30.97,0.0243,30.07,43.19679147029703,0.638160638084174,58.74920646122193,-17.358490566037755,30.134545408694613,30.396441735543075,30.074545454545454,30.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
