f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,14.81,14.28,15.13,0.0438,14.37,189.90636954271977,0.6006962626818982,113.0861754901217,-4.113924050632936,14.54687623649782,14.83280301220535,14.242,15.0
0.0,0.0,15.16,14.84,15.65,-0.0177,15.25,178.8414061145402,0.5591109013424798,111.89038711399463,-23.42657342657341,14.766025800934807,15.038870289980096,14.427818181818182,14.98
0.0,0.0,15.01,14.74,15.18,0.005996,15.01,168.61602299592687,0.4991232312766056,111.10738088620012,-25.00000000000002,14.959472177097268,15.208259090480274,14.59781818181818,15.1
0.0,0.0,14.73,14.42,15.13,-0.0155,14.87,158.52528234238315,0.4563606030322951,86.77004127537953,-48.5576923076923,14.941548770161482,15.09027465017277,14.648,14.64
0.0,0.0,14.66,14.37,14.81,0.0264,14.41,149.2984847703686,0.3714417854792324,87.74281504103452,-47.25274725274731,14.96916867890161,15.058277366383276,14.708909090909088,14.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,14.9,14.73,15.06,0.0020161,14.88,141.14914845409322,0.3602235417070906,88.49477701342435,-40.65934065934066,15.02140452925156,15.074056268236276,14.770545454545456,14.91
0.0,0.0,14.77,14.63,15.02,-0.0207,14.96,133.47947398247132,0.3555966816493091,77.10678105254904,-54.94505494505494,14.966739122320485,14.952228886522445,14.771818181818183,14.65
0.0,0.0,14.77,14.54,15.15,-0.0047651,14.69,126.67647879090988,0.2675369133409444,75.85530931537518,-56.59340659340665,14.909756854132889,14.845201778637598,14.764363636363637,14.62
0.0,0.0,14.74,14.49,14.86,0.0157,14.63,120.35780342826118,0.2186686991775457,78.89948066917806,-48.76543209876546,14.94137180339134,14.873759141005864,14.788363636363636,14.86
0.0,0.0,14.88,14.72,15.01,0.0115,14.73,114.80967804016252,0.1576229678695335,79.38089985809914,-54.744525547445214,14.973068693278693,14.904464025276262,14.808727272727271,14.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,15.26,15.09,15.54,-0.0137,15.35,110.2721697093929,0.1759232787325203,82.10308233228251,-39.84374999999995,15.071210621442006,15.027586689177838,14.862363636363638,15.14
0.0,0.0,15.02,14.81,15.28,-0.019,15.26,104.9890794909364,0.1752598071435662,74.37503329629209,-48.7179487179486,15.082984618925147,15.026749652722623,14.882545454545456,14.97
0.0,0.0,15.8,15.63,16.1,-0.0188,15.96,101.03104064454588,0.2933325757565976,82.01113655217625,-25.433526011560737,15.31523053066427,15.331905461832324,15.028363636363638,15.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,15.54,15.39,15.7,-0.0063939,15.64,96.51956658555176,0.3310951524864113,77.54577849535156,-32.36994219653188,15.442428850732137,15.473812185191068,15.14218181818182,15.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,15.36,15.24,15.48,-0.0038911,15.42,91.8616894378761,0.3383326765182458,71.09419463802963,-45.96273291925475,15.471299499678986,15.476740500658304,15.206909090909091,15.36
0.0,0.0,15.3,15.15,15.4,0.0052425,15.26,87.29604481182749,0.3436917223326741,70.37139269148611,-47.20496894409944,15.480335239893686,15.459271469805184,15.257636363636363,15.34
0.0,0.0,15.8,15.54,15.93,0.0205,15.61,83.94098088389443,0.3864660399051901,77.77708554059117,-10.559006211180222,15.67678609937977,15.705590996692855,15.40781818181818,15.93
0.0,0.0,15.91,15.72,16.1,0.0018892,15.88,81.14149081721041,0.3758044704364224,77.05169460067967,-11.801242236024915,15.810053663188476,15.851793367683095,15.53109090909091,15.91
0.0,0.0,16.23,15.98,16.36,0.0225,15.98,78.95148495050591,0.4359690355977129,81.23299509432684,-1.219512195121926,16.044718605467413,16.13255679905985,15.70909090909091,16.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,16.73,16.32,16.96,0.0224,16.53,77.63642481849732,0.5535964233988506,85.14864532215931,-2.79069767441871,16.396693695572573,16.560071545680458,15.961999999999998,16.9
0.0,0.0,16.75,16.53,16.9,0.0126,16.62,76.45287069968957,0.6092585657994473,82.75065263447512,-6.046511627907095,16.625811113062056,16.796609151684507,16.16581818181818,16.83
0.0,0.0,17.03,16.89,17.22,-0.0029343,17.04,75.71534135142689,0.6095900261651264,83.90203735048718,-11.11111111111114,16.838829843346353,17.00605917615629,16.368,16.99
0.0,0.0,16.92,16.79,17.05,-0.0058824,17.0,74.50718584469027,0.6370431696517901,80.5419545909539,-15.458937198067655,16.956674453095467,17.083194006649876,16.517090909090907,16.9
0.0,0.0,17.17,16.97,17.33,0.0093842,17.05,73.7509540189993,0.6595824436717518,83.12792029544539,-5.504587155963191,17.13616797026321,17.253107974032588,16.7,17.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
